Player,Team,Assists,Matches Played,Coefficient
L. Messi,FC Barcelona,21,33,0.64
Mikel Oyarzabal,Real Sociedad,11,37,0.3
Santi Cazorla,Villarreal,9,35,0.26
Rodrigo Moreno,Valencia,9,27,0.33
L. Suárez,FC Barcelona,8,28,0.29
Roberto Torres,Osasuna,8,36,0.22
K. Benzema,Real Madrid,8,37,0.22
Luka Modrić,Real Madrid,8,31,0.26
Ángel Correa,Atlético de Madrid,7,33,0.21
Jesús Navas,Sevilla,7,38,0.18
Moi Gómez,Villarreal,7,37,0.19
José Campaña,Levante,7,37,0.19
Éver Banega,Sevilla,7,33,0.21
Portu,Real Sociedad,7,35,0.2
Nabil Fekir,Real Betis,7,32,0.22
Fabián Orellana,Eibar,7,29,0.24
Gerard Moreno,Villarreal,6,35,0.17
Jordi Alba,FC Barcelona,6,27,0.22
Eden Hazard,Real Madrid,6,16,0.38
Sergio Canales,Real Betis,6,36,0.17
Víctor Díaz,Granada,6,36,0.17
Emerson Royal,Real Betis,6,33,0.18
Martin Ødegaard,Real Sociedad,6,31,0.19
Daniel Wass,Valencia,6,35,0.17
Dani Carvajal,Real Madrid,6,31,0.19
D. Machís,Granada,5,36,0.14
Koke,Atlético de Madrid,5,32,0.16
F. Valverde,Real Madrid,5,33,0.15
Ferran Torres,Valencia,5,34,0.15
Lucas Pérez,Deportivo Alavés,5,34,0.15
Toni Kroos,Real Madrid,5,35,0.14
D. Wass,Valencia,5,35,0.14
P. Estupiñán,Osasuna,5,36,0.14
M. Cucurella,Getafe,5,37,0.14
A. Griezmann,FC Barcelona,4,35,0.11
Álex Moreno,Real Betis,4,31,0.13
R. Soldado,Granada,4,33,0.12
D. Suárez,Getafe,4,30,0.13
Take Kubo,Mallorca,4,35,0.11
Ander Capa,Athletic,4,35,0.11
L. Olaza,Celta,4,35,0.11
Sergi Enrich,Eibar,4,30,0.13
Salva Sevilla,Mallorca,4,35,0.11
Aleix Vidal,Deportivo Alavés,4,29,0.14
Rubén Rochina,Levante,4,28,0.14
Unai López,Athletic,4,26,0.15
K. Trippier,Atlético de Madrid,4,25,0.16
Iñigo Córdoba,Athletic,4,24,0.17
Diego Costa,Atlético de Madrid,4,23,0.17
Adrián Embarba,Espanyol,4,18,0.22
Manu Trigueros,Villarreal,4,29,0.14
J. Mata,Getafe,3,34,0.09
Ángel,Getafe,3,32,0.09
Lucas Ocampos,Sevilla,3,33,0.09
Jorge Molina,Getafe,3,34,0.09
Joaquín,Real Betis,3,34,0.09
Fernando,Sevilla,3,34,0.09
Santi Mina,Celta,3,34,0.09
Antonio Puertas,Granada,3,36,0.08
C. Fernández,Granada,3,34,0.09
Casemiro,Real Madrid,3,35,0.09
Dani Parejo,Valencia,3,35,0.09
Ivan Rakitić,FC Barcelona,3,31,0.1
Loren Morón,Real Betis,3,36,0.08
Joselu,Deportivo Alavés,3,36,0.08
Iago Aspas,Celta,3,37,0.08
S. Chukwueze,Villarreal,3,37,0.08
Sergio Reguilón,Sevilla,3,31,0.1
Jorge Miramón,Levante,3,32,0.09
Y. Herrera,Granada,3,30,0.1
Mario Gaspar,Villarreal,3,25,0.12
G. Bale,Real Madrid,3,16,0.19
P. De Blasis,Eibar,3,30,0.1
Kenedy,Getafe,3,19,0.16
Jason,Getafe,3,20,0.15
Matías Vargas,Espanyol,3,21,0.14
Arthur,FC Barcelona,3,21,0.14
Adnan Januzaj,Real Sociedad,3,24,0.13
E. Hazard,Real Madrid,3,16,0.19
J. Calleri,Espanyol,3,27,0.11
A. Guardado,Real Betis,3,28,0.11
Aleix Febas,Mallorca,3,29,0.1
Roque Mesa,Leganés,3,29,0.1
M. Llorente,Atlético de Madrid,3,29,0.1
T. Inui,Eibar,3,29,0.1
Óliver Torres,Sevilla,3,28,0.11
Toko Ekambi,Villarreal,2,18,0.11
Chimy Ávila,Osasuna,2,20,0.1
Toño García,Levante,2,20,0.1
Xavi Quintillà,Villarreal,2,19,0.11
Joan Sastre,Mallorca,2,19,0.11
Marc Cardona,Osasuna,2,19,0.11
Marcelo,Real Madrid,2,15,0.13
Junior Firpo,FC Barcelona,2,17,0.12
Z. Feddal,Real Betis,2,17,0.12
F. Portillo,Getafe,2,16,0.13
Y. Carrasco,Atlético de Madrid,2,15,0.13
Riqui Puig,FC Barcelona,2,11,0.18
Carles Pérez,FC Barcelona,2,10,0.2
G. Guedes,Valencia,2,21,0.1
