Player,Team,Assists,Matches Played,Coefficient
L. Suárez,FC Barcelona,12,33,0.36
L. Messi,FC Barcelona,12,36,0.33
P. Fornals,Villarreal,12,35,0.34
K. Benzema,Real Madrid,10,32,0.31
P. Sisto,Celta,10,34,0.29
G. Guedes,Valencia,9,33,0.27
A. Griezmann,Atlético de Madrid,9,32,0.28
A. Guardado,Real Betis,8,29,0.28
J. Luis Morales,Levante,8,35,0.23
J. Alba,FC Barcelona,8,33,0.24
D. Wass,Celta,8,35,0.23
Cote,Eibar,8,30,0.27
Joaquín,Real Betis,7,35,0.2
D. Parejo,Valencia,7,34,0.21
Á. Granell,Girona FC,7,34,0.21
L. Vázquez,Real Madrid,7,33,0.21
S. Roberto,FC Barcelona,7,30,0.23
Isco,Real Madrid,7,30,0.23
T. Kroos,Real Madrid,7,27,0.26
A. Barragán,Real Betis,6,29,0.21
L. Pérez,RC Deportivo,6,35,0.17
L. Modrić,Real Madrid,6,26,0.23
I. Williams,Athletic,6,38,0.16
Munir El Haddadi,Deportivo Alavés,6,33,0.18
Carlos Soler,Valencia,5,33,0.15
Sergio Canales,Real Sociedad,5,36,0.14
D. Suárez,Getafe,4,33,0.12
Willian José,Real Sociedad,4,34,0.12
Koke,Atlético de Madrid,4,35,0.11
J. Campaña,Levante,4,35,0.11
Á. Odriozola,Real Sociedad,4,35,0.11
Ángel Correa,Atlético de Madrid,4,37,0.11
Pablo Sarabia,Sevilla,4,34,0.12
Bernardo,Girona FC,3,34,0.09
É. Banega,Sevilla,3,31,0.1
Mario Gaspar,Villarreal,3,32,0.09
C. Borges,RC Deportivo,3,32,0.09
F. Portillo,Getafe,3,33,0.09
V. Antunes,Getafe,3,34,0.09
José Gayà,Valencia,3,34,0.09
Saúl,Atlético de Madrid,3,36,0.08
Paulinho,FC Barcelona,3,34,0.09
Joan Jordán,Eibar,3,35,0.09
Jorge Molina,Getafe,3,36,0.08
Maxi Gómez,Celta,3,36,0.08
Léo Baptistão,Espanyol,3,36,0.08
J. Calleri,UD Las Palmas,3,37,0.08
F. Fajr,Getafe,3,31,0.1
D. Zurutuza,Real Sociedad,3,31,0.1
Pedro León,Eibar,3,12,0.25
Sergio Busquets,FC Barcelona,3,31,0.1
Juanmi,Real Sociedad,3,30,0.1
Casemiro,Real Madrid,3,30,0.1
Florin Andone,RC Deportivo,3,29,0.1
Ivi López,Levante,3,29,0.1
José Manuel Jurado,Espanyol,3,29,0.1
R. Boudebouz,Real Betis,3,27,0.11
J. Guidetti,Deportivo Alavés,3,25,0.12
W. Ben Yedder,Sevilla,3,25,0.12
Jonathan Viera,UD Las Palmas,3,23,0.13
Iván Alejo,Eibar,3,22,0.14
M. Guerrero,Leganés,3,22,0.14
Y. Carrasco,Atlético de Madrid,3,17,0.18
P. Alcácer,FC Barcelona,3,17,0.18
Diego Costa,Atlético de Madrid,3,15,0.2
Rodri,Villarreal,3,37,0.08
