Player,Team,Assists,Matches Played,Coefficient
Luis Suárez,FC Barcelona,18,35,0.51
Lionel Messi,FC Barcelona,16,33,0.48
Neymar,FC Barcelona,16,34,0.47
Koke,Atlético de Madrid,15,35,0.43
Marco Asensio,Espanyol,13,34,0.38
Roberto Soldado,Villarreal,12,28,0.43
Toni Kroos,Real Madrid,11,32,0.34
Gareth Bale,Real Madrid,11,23,0.48
Cristiano Ronaldo,Real Madrid,11,36,0.31
Lucas Pérez,Deportivo La Coruña,10,36,0.28
Jony,Sporting Gijón,9,36,0.25
James Rodríguez,Real Madrid,8,26,0.31
Lucas Vázquez,Real Madrid,8,25,0.32
Karim Benzema,Real Madrid,8,27,0.3
Markel Susaeta,Athletic,8,28,0.29
Jordi Alba,FC Barcelona,8,31,0.26
Roberto Trashorras,Rayo Vallecano,8,36,0.22
Jonathan Viera,Las Palmas,8,36,0.22
Sergi Enrich,Eibar,8,38,0.21
Bebé,Rayo Vallecano,8,34,0.24
A. Aduriz,Athletic,6,34,0.18
P. Alcácer,Valencia,6,34,0.18
Pablo Sarabia,Getafe,6,31,0.19
Rubén Rochina,Granada,6,35,0.17
Raúl García,Athletic,6,31,0.19
Víctor Sánchez,Espanyol,6,29,0.21
Jesé Rodríguez,Real Madrid,6,28,0.21
A. Halilović,Real Sporting,5,36,0.14
Joaquín,Real Betis,5,30,0.17
Sergi Roberto,FC Barcelona,5,31,0.16
Dani Parejo,Valencia,5,33,0.15
Morales,Levante,5,35,0.14
D. Wass,Celta,5,36,0.14
Ander Capa,Eibar,5,36,0.14
A. Griezmann,Atlético de Madrid,5,38,0.13
Rosales,Málaga,5,35,0.14
Danilo,Real Madrid,5,24,0.21
Ángel Correa,Atlético de Madrid,4,26,0.15
Tana,UD Las Palmas,4,27,0.15
Fernando Torres,Atlético de Madrid,4,30,0.13
Adrián,Villarreal,4,16,0.25
Yuri,Real Sociedad,4,21,0.19
Miku,Rayo Vallecano,4,22,0.18
João Cancelo,Valencia,4,28,0.14
Chory Castro,Málaga,4,24,0.17
P. Hernández,Rayo Vallecano,4,27,0.15
Dani Carvajal,Real Madrid,4,22,0.18
Vitolo,Sevilla,4,28,0.14
Saúl Berjón,Eibar,4,29,0.14
D. Alves,FC Barcelona,4,29,0.14
Tito,Rayo Vallecano,4,29,0.14
Adrián Embarba,Rayo Vallecano,4,28,0.14
N. El Zhar,UD Las Palmas,4,30,0.13
Pedro León,Getafe,4,31,0.13
Sergio Busquets,FC Barcelona,4,35,0.11
Kévin Gameiro,Sevilla,4,31,0.13
D. Juncà,Eibar,4,31,0.13
Lora,Real Sporting,4,31,0.13
Denis Suárez,Villarreal,4,33,0.12
Y. Konoplyanka,Sevilla,4,32,0.13
Luka Modrić,Real Madrid,4,32,0.13
Recio,Málaga,4,33,0.12
P. Hernández,Celta,4,33,0.12
Filipe Luís,Atlético de Madrid,4,32,0.13
F. Fajr,RC Deportivo,4,38,0.11
Álvaro Vázquez,Getafe,4,34,0.12
C. Vela,Real Sociedad,4,35,0.11
Iago Aspas,Celta,4,35,0.11
Jonny,Celta,4,36,0.11
Hugo Mallo,Celta,4,34,0.12
Rubén Castro,Real Betis,4,38,0.11
Moi Gómez,Getafe,3,22,0.14
Casemiro,Real Madrid,3,23,0.13
A. Peñaranda,Granada,3,23,0.13
Momo,UD Las Palmas,3,23,0.13
F. Llorente,Sevilla,3,23,0.13
A. Turan,FC Barcelona,3,18,0.17
C. Carmona,Real Sporting,3,20,0.15
D. Zurutuza,Real Sociedad,3,16,0.19
Z. Bakkali,Valencia,3,16,0.19
L. Vietto,Atlético de Madrid,3,19,0.16
Mariano,Sevilla,3,23,0.13
Burgui,Espanyol,3,26,0.12
B. Trémoulinas,Sevilla,3,24,0.13
C. Borges,RC Deportivo,3,24,0.13
Verza,Levante,3,29,0.1
Keko Gontán,Eibar,3,29,0.1
T. Inui,Eibar,3,27,0.11
M. Krohn-Dehli,Sevilla,3,27,0.11
F. Cartabia,RC Deportivo,3,26,0.12
Rodrigo Moreno,Valencia,3,25,0.12
I. Williams,Athletic,3,25,0.12
Carles Planas,Celta,3,26,0.12
Marcelo,Real Madrid,3,30,0.1
