Player,Team,Assists,Matches Played,Coefficient
Iago Aspas,Celta,13,33,0.39
M. Llorente,Atlético de Madrid,11,37,0.3
Toni Kroos,Real Madrid,10,28,0.36
Y. Carrasco,Atlético de Madrid,10,30,0.33
K. Benzema,Real Madrid,9,34,0.26
Denis Suárez,Celta,9,35,0.26
L. Messi,FC Barcelona,9,35,0.26
Jorge De Frutos,Levante,9,37,0.24
Ángel Correa,Atlético de Madrid,8,38,0.21
Carlos Soler,Valencia,8,32,0.25
M. Oyarzabal,Real Sociedad,8,33,0.24
Gerard Moreno,Villarreal,7,33,0.21
José Gayà,Valencia,7,33,0.21
A. Griezmann,FC Barcelona,7,36,0.19
Jesús Navas,Sevilla,6,34,0.18
I. Williams,Athletic,6,38,0.16
Joan Jordán,Sevilla,6,35,0.17
Rodrygo,Real Madrid,6,22,0.27
Sergio Canales,Real Betis,6,31,0.19
G. Guedes,Valencia,6,31,0.19
K. Trippier,Atlético de Madrid,6,28,0.21
Nabil Fekir,Real Betis,5,33,0.15
Rubén García,Osasuna,5,37,0.14
Dani Parejo,Villarreal,5,36,0.14
Nolito,Celta,5,36,0.14
Sergio Busquets,FC Barcelona,5,36,0.14
Óscar Plano,Real Valladolid,5,36,0.14
Jordi Alba,FC Barcelona,5,35,0.14
Antonio Puertas,Granada,5,35,0.14
David Silva,Real Sociedad,5,21,0.24
D. Machís,Granada,5,32,0.16
João Félix,Atlético de Madrid,5,31,0.16
Tete Morente,Elche,5,30,0.17
Pablo Hervías,Real Valladolid,5,27,0.19
Joaquín,Real Betis,5,27,0.19
Lucas Vázquez,Real Madrid,5,24,0.21
Manu Sánchez,Osasuna,5,17,0.29
D. Foulquier,Granada,4,32,0.13
F. De Jong,FC Barcelona,4,37,0.11
David Ferreiro,Huesca,4,37,0.11
Á. Negredo,Cádiz,4,35,0.11
Álex Berenguer,Athletic,4,35,0.11
Lucas Ocampos,Sevilla,4,34,0.12
Suso,Sevilla,4,34,0.12
Roger Martí,Levante,4,33,0.12
Casemiro,Real Madrid,4,34,0.12
Mikel Rico,Huesca,4,32,0.13
Lucas Pérez,Deportivo Alavés,4,28,0.14
Adnan Januzaj,Real Sociedad,4,27,0.15
P. Alcácer,Villarreal,4,27,0.15
Mikel Merino,Real Sociedad,4,26,0.15
Pablo Maffeo,Huesca,4,25,0.16
Kang-In Lee,Valencia,4,24,0.17
Fernando,Sevilla,4,31,0.13
Emerson Royal,Real Betis,3,34,0.09
L. Suárez,Atlético de Madrid,3,32,0.09
L. Olaza,Real Valladolid,3,32,0.09
Óliver Torres,Sevilla,3,33,0.09
Kike Barja,Osasuna,3,33,0.09
Santi Mina,Celta,3,34,0.09
Pedri,FC Barcelona,3,37,0.08
C. Clerc,Levante,3,35,0.09
Luka Modrić,Real Madrid,3,35,0.09
Vinícius,Real Madrid,3,35,0.09
Edu Expósito,Eibar,3,31,0.1
Portu,Real Sociedad,3,37,0.08
Joselu,Deportivo Alavés,3,37,0.08
Morales,Levante,3,38,0.08
Pere Milla,Elche,3,32,0.09
Pacha Espino,Cádiz,3,32,0.09
O. Dembélé,FC Barcelona,3,30,0.1
Deyverson,Deportivo Alavés,3,27,0.11
Aarón Martín,Celta,3,19,0.16
Fidel,Elche,3,30,0.1
Cucho,Getafe,3,23,0.13
Yuri,Athletic,3,23,0.13
J. Calleri,Osasuna,3,25,0.12
Jorge Miramón,Levante,3,26,0.12
D. Cheryshev,Valencia,3,21,0.14
Thomas Lemar,Atlético de Madrid,3,27,0.11
Alberto Perea,Cádiz,3,27,0.11
Kenedy,Granada,3,28,0.11
Iker Muniain,Athletic,3,28,0.11
Cristian Tello,Real Betis,3,29,0.1
Bryan Gil,Eibar,3,29,0.1
A. Barragán,Elche,3,27,0.11
Ilaix Moriba,FC Barcelona,2,14,0.14
Marcelo,Real Madrid,2,16,0.13
A. Solari,Celta,2,16,0.13
Rober Correa,Eibar,2,15,0.13
Sergi Roberto,FC Barcelona,2,15,0.13
Alberto Soro,Granada,2,15,0.13
Toño García,Levante,2,12,0.17
E. Hazard,Real Madrid,2,14,0.14
Dani Carvajal,Real Madrid,2,13,0.15
P. Coutinho,FC Barcelona,2,12,0.17
J. Campaña,Levante,2,9,0.22
C. Oliva,Valencia,2,9,0.22
C. Fernández,Real Sociedad,2,16,0.13
