Player,Team,Assists,Matches Played,Coefficient
Toni Kroos,Real Madrid,12,29,0.41
Luis Suárez,FC Barcelona,12,35,0.34
Neymar,FC Barcelona,10,30,0.33
Pablo Piatti,Espanyol,10,30,0.33
Marcelo,Real Madrid,10,30,0.33
Isco,Real Madrid,9,30,0.3
Lionel Messi,FC Barcelona,9,34,0.26
Koke,Atlético de Madrid,8,36,0.22
Dani Parejo,Valencia,8,36,0.22
Ángel Correa,Atlético de Madrid,8,31,0.26
Pablo Sarabia,Sevilla,8,34,0.24
Nani,Valencia,8,25,0.32
Antoine Griezmann,Atlético de Madrid,7,36,0.19
Lucas Vázquez,Real Madrid,7,33,0.21
Mikel Oyarzabal,Real Sociedad,7,38,0.18
Sergi Enrich,Eibar,7,38,0.18
Álex Berenguer,Osasuna,6,29,0.21
I. Williams,Athletic,6,38,0.16
Sergi Roberto,FC Barcelona,6,32,0.19
C. Ronaldo,Real Madrid,6,29,0.21
Jordi Alba,FC Barcelona,6,26,0.23
Xabi Prieto,Real Sociedad,6,38,0.16
Jonathan Viera,Las Palmas,6,31,0.19
Juanfran,Deportivo,6,34,0.18
James Rodríguez,Real Madrid,6,22,0.27
Filipe Luís,Atlético de Madrid,6,34,0.18
Cristiano Ronaldo,Real Madrid,6,29,0.21
Iñaki Williams,Athletic,6,38,0.16
Beñat,Athletic,5,32,0.16
Pedro León,Eibar,5,37,0.14
Juanfran,RC Deportivo,5,34,0.15
Emre Colak,RC Deportivo,5,33,0.15
Burgui,Real Sporting,5,32,0.16
Ivan Rakitić,FC Barcelona,5,32,0.16
R. Soriano,Villarreal,5,33,0.15
Kévin Gameiro,Atlético de Madrid,5,31,0.16
Moi Gómez,Real Sporting,5,26,0.19
Antonio Luna,Eibar,5,26,0.19
James,Real Madrid,5,22,0.23
Léo Baptistão,Espanyol,5,21,0.24
K. Benzema,Real Madrid,5,29,0.17
Roberto Torres,Osasuna,4,32,0.13
Sergio Canales,Real Sociedad,4,31,0.13
Willian José,Real Sociedad,4,28,0.14
Fernando Torres,Atlético de Madrid,4,31,0.13
José Manuel Jurado,Espanyol,4,31,0.13
Tana,UD Las Palmas,4,32,0.13
João Cancelo,Valencia,4,35,0.11
Iago Aspas,Celta,4,32,0.13
Samu Castillejo,Villarreal,4,33,0.12
Y. Carrasco,Atlético de Madrid,4,35,0.11
Raúl García,Athletic,4,36,0.11
Gerard Moreno,Espanyol,4,37,0.11
Vitolo,Sevilla,4,30,0.13
Juankar,Málaga,4,28,0.14
K-P. Boateng,UD Las Palmas,4,28,0.14
Dani Carvajal,Real Madrid,4,23,0.17
Joaquín,Real Betis,4,28,0.14
Á. Odriozola,Real Sociedad,4,15,0.27
Jaime Romero,Osasuna,4,19,0.21
Carles Gil,RC Deportivo,4,23,0.17
Stevan Jovetić,Sevilla,4,21,0.19
Michel Macedo,UD Las Palmas,4,25,0.16
N. El Zhar,Leganés,4,26,0.15
Á. Morata,Real Madrid,4,26,0.15
Riza Durmisi,Real Betis,4,27,0.15
O. De Marcos,Athletic,4,27,0.15
F. Vázquez,Sevilla,3,30,0.1
Isma López,Real Sporting,3,27,0.11
D. Machís,Leganés,3,27,0.11
Nacho,Real Madrid,3,28,0.11
T. Inui,Eibar,3,28,0.11
P. Sisto,Celta,3,30,0.1
T. Bongonda,Celta,3,30,0.1
Theo Hernández,Deportivo Alavés,3,32,0.09
W. Ben Yedder,Sevilla,3,31,0.1
Ander Capa,Eibar,3,31,0.1
Duje Čop,Real Sporting,3,31,0.1
D. Wass,Celta,3,32,0.09
N. Sansone,Villarreal,3,32,0.09
S. Escudero,Sevilla,3,26,0.12
Sergio Busquets,FC Barcelona,3,33,0.09
Saúl,Atlético de Madrid,3,33,0.09
Mateo Kovačić,Real Madrid,3,27,0.11
Tito,Leganés,3,23,0.13
Denis Suárez,FC Barcelona,3,26,0.12
P. Alcácer,FC Barcelona,3,21,0.14
R. Soldado,Villarreal,3,10,0.3
Javi Ontiveros,Málaga,3,18,0.17
A. Turan,FC Barcelona,3,18,0.17
Carlos Vigaray,Deportivo Alavés,3,19,0.16
Rodrigo Moreno,Valencia,3,19,0.16
A. Katai,Deportivo Alavés,3,20,0.15
L. Vietto,Sevilla,3,21,0.14
Marko Livaja,UD Las Palmas,3,25,0.12
Keko Gontán,Málaga,3,22,0.14
F. Orellana,Valencia,3,23,0.13
C. Piccini,Real Betis,3,23,0.13
S. Nasri,Sevilla,3,23,0.13
Andrés Iniesta,FC Barcelona,3,23,0.13
Bueno,Leganés,3,24,0.13
J. Dos Santos,Villarreal,3,33,0.09
