Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
12/09/20,Eibar,Celta,0,0,D,0,0,D,Valentín Pizarro,8,6,1,3,17,13,3,3,4,4,1,0,2.5,3.25,2.9,4.407,5.227
12/09/20,Granada,Ath Bilbao,2,0,H,0,0,D,Antonio Matéu Lahoz,4,9,2,2,8,10,1,2,3,4,0,0,2.75,3.1,2.75,17.938,6.818
12/09/20,Cadiz,Osasuna,0,2,A,0,1,A,Isidro Díaz de Mera,12,6,3,4,14,21,6,2,2,2,0,0,2.8,3.0,2.75,6.667,6.741
13/09/20,Alaves,Betis,0,1,A,0,0,D,Pablo González,7,11,2,4,19,17,6,4,3,3,0,0,2.8,3.2,2.6,8.56,9.944
13/09/20,Valladolid,Sociedad,1,1,D,1,0,H,Mario Melero,8,8,3,2,15,17,5,3,4,1,0,0,2.8,3.2,2.6,10.286,6.053
13/09/20,Villarreal,Huesca,1,1,D,0,1,A,Daniel Ask,15,10,4,3,10,22,6,6,1,1,0,0,1.57,4.0,6.0,5.621,13.238
13/09/20,Valencia,Levante,4,2,H,2,2,D,José Sánchez,14,19,8,8,9,14,3,4,1,3,0,0,2.1,3.5,3.5,14.5,9.909
19/09/20,Villarreal,Eibar,2,1,H,0,0,D,Jorge Figueroa,14,12,8,4,5,12,4,3,1,1,0,0,1.57,4.0,6.0,7.632,8.931
19/09/20,Getafe,Osasuna,1,0,H,0,0,D,Alejandro Hernández,7,10,1,3,19,13,4,1,4,2,0,0,1.95,3.25,4.33,6.167,12.5
19/09/20,Celta,Valencia,2,1,H,1,0,H,Jesús Gil,23,9,6,3,12,13,6,6,3,1,0,0,2.2,3.6,3.1,9.409,8.821
