Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
19/09/2025,Betis,Sociedad,3,1,H,1,1,D,Mateo Busquets,21,11,6,5,7,20,3,5,3,7,0,0,1.91,3.6,3.75
20/09/2025,Girona,Levante,0,4,A,0,1,A,Alejandro Quintero,7,14,1,7,11,17,5,4,4,3,2,0,1.91,3.6,4.0
20/09/2025,Real Madrid,Espanol,2,0,H,1,0,H,Juan Martínez,16,8,5,1,10,20,5,3,2,0,0,0,1.2,7.0,13.0
20/09/2025,Alaves,Sevilla,1,2,A,1,1,D,Iosu Galech,8,9,5,3,20,19,4,4,1,7,0,0,2.25,3.1,3.5
20/09/2025,Villarreal,Osasuna,2,1,H,0,1,A,Isidro Díaz de Mera,26,6,8,3,10,11,7,0,2,3,0,1,1.55,4.33,5.5
20/09/2025,Valencia,Ath Bilbao,2,0,H,0,0,D,Miguel Ángel Ortiz Arias,13,11,5,5,13,6,5,6,1,1,0,1,3.0,3.0,2.55
21/09/2025,Vallecano,Celta,1,1,D,0,0,D,Víctor García,15,9,5,5,8,10,5,7,1,1,0,0,2.3,3.3,3.2
21/09/2025,Mallorca,Ath Madrid,1,1,D,0,0,D,Francisco Hernández,8,12,3,7,14,6,3,6,0,0,0,1,5.0,3.6,1.75
21/09/2025,Elche,Oviedo,1,0,H,1,0,H,Miguel Sesma,15,12,5,4,9,18,3,3,2,2,0,0,1.91,3.2,4.5
21/09/2025,Barcelona,Getafe,3,0,H,2,0,H,Ricardo de Burgos,16,3,7,2,9,15,3,2,2,4,0,0,1.22,6.5,12.0
23/09/2025,Ath Bilbao,Girona,1,1,D,0,1,A,José Luis Munuera,17,6,5,3,19,15,8,1,0,2,0,0,1.45,4.33,7.0
23/09/2025,Espanol,Valencia,2,2,D,0,1,A,José Guzmán,21,5,10,2,9,9,8,3,1,4,0,0,2.25,3.1,3.4
23/09/2025,Levante,Real Madrid,1,4,A,0,2,A,Isidro Díaz de Mera,11,24,2,10,17,9,1,7,1,1,0,0,7.5,5.75,1.33
23/09/2025,Sevilla,Villarreal,1,2,A,0,1,A,César Soto,16,12,2,5,17,14,3,3,2,3,0,0,3.1,3.4,2.3
24/09/2025,Getafe,Alaves,1,1,D,0,0,D,Alejandro Quintero,7,10,1,4,14,20,2,7,2,3,0,0,2.3,2.9,3.6
24/09/2025,Ath Madrid,Vallecano,3,2,H,1,1,D,Alejandro Hernández,20,9,8,3,6,12,8,6,3,4,0,0,1.5,4.5,6.0
24/09/2025,Sociedad,Mallorca,1,0,H,0,0,D,Iosu Galech,17,7,4,3,13,15,11,2,2,2,0,0,1.8,3.4,4.75
25/09/2025,Osasuna,Elche,1,1,D,1,0,H,Adrián Cordero,9,12,2,4,19,13,2,3,2,2,0,0,1.95,3.25,4.33
25/09/2025,Oviedo,Barcelona,1,3,A,1,0,H,Miguel Ángel Ortiz Arias,7,22,3,10,10,6,6,9,1,0,0,0,10.0,5.75,1.25
26/09/2025,Girona,Espanol,0,0,D,0,0,D,Francisco Hernández,12,20,3,5,9,11,8,4,0,1,0,0,2.45,3.3,2.88
27/09/2025,Getafe,Levante,1,1,D,0,1,A,Mateo Busquets,11,11,4,3,15,16,6,2,4,3,0,0,2.05,3.1,4.1
27/09/2025,Ath Madrid,Real Madrid,5,2,H,2,2,D,Javier Alberola,13,6,7,2,17,14,7,2,5,4,0,0,3.0,3.6,2.3
27/09/2025,Mallorca,Alaves,1,0,H,1,0,H,Adrián Cordero,12,12,3,3,14,18,4,8,2,3,0,0,2.35,3.0,3.4
27/09/2025,Villarreal,Ath Bilbao,1,0,H,0,0,D,Miguel Sesma,14,16,5,4,13,11,6,5,2,0,0,0,2.1,3.25,3.7
28/09/2025,Vallecano,Sevilla,0,1,A,0,0,D,Jesús Gil,18,4,6,1,12,15,12,4,3,2,1,0,2.0,3.3,4.0
28/09/2025,Elche,Celta,2,1,H,1,1,D,Guillermo Cuadra,17,8,8,2,12,20,7,2,3,3,0,0,2.88,3.1,2.6
28/09/2025,Barcelona,Sociedad,2,1,H,1,1,D,Alejandro Hernández,22,7,12,2,6,12,12,1,1,2,0,0,1.27,5.75,10.0
28/09/2025,Betis,Osasuna,2,0,H,2,0,H,Víctor García,12,12,6,1,6,7,5,5,0,1,0,0,1.75,3.8,4.5
30/09/2025,Valencia,Oviedo,1,2,A,1,0,H,Ricardo de Burgos,16,10,5,4,14,12,5,4,1,4,0,1,1.7,3.5,5.5
03/10/2025,Osasuna,Getafe,2,1,H,1,1,D,Javier Alberola,7,6,3,2,11,14,1,6,1,4,0,0,2.15,2.9,4.1
04/10/2025,Oviedo,Levante,0,2,A,0,1,A,José Luis Munuera,13,14,2,5,10,10,9,3,2,2,0,0,2.5,3.3,2.88
04/10/2025,Girona,Valencia,2,1,H,1,0,H,Isidro Díaz de Mera,4,19,4,6,13,12,0,7,5,1,2,0,2.45,3.5,2.8
04/10/2025,Ath Bilbao,Mallorca,2,1,H,1,0,H,Alejandro Quintero,18,7,5,2,16,13,7,2,5,6,0,1,1.53,3.8,7.0
04/10/2025,Real Madrid,Villarreal,3,1,H,0,0,D,Guillermo Cuadra,26,9,7,2,9,14,4,0,2,4,0,1,1.45,5.0,6.0
05/10/2025,Alaves,Elche,3,1,H,0,0,D,Miguel Ángel Ortiz Arias,25,6,5,3,13,9,14,4,3,1,0,1,2.3,3.1,3.3
05/10/2025,Sevilla,Barcelona,4,1,H,2,1,H,Alejandro Muñíz,13,17,5,8,18,9,7,6,7,5,0,0,5.75,5.25,1.45
05/10/2025,Espanol,Betis,1,2,A,1,0,H,Iosu Galech,14,12,5,3,16,4,10,5,2,6,0,0,2.63,3.4,2.63
05/10/2025,Sociedad,Vallecano,0,1,A,0,0,D,José Guzmán,10,7,3,2,13,21,7,5,1,2,0,0,2.05,3.6,3.5
05/10/2025,Celta,Ath Madrid,1,1,D,0,1,A,César Soto,18,6,4,1,7,10,6,3,1,3,0,1,4.5,3.8,1.75
17/10/2025,Oviedo,Espanol,0,2,A,0,0,D,Mateo Busquets,13,19,4,10,9,8,3,5,2,1,0,0,3.0,3.1,2.5
18/10/2025,Sevilla,Mallorca,1,3,A,1,0,H,Víctor García,13,7,4,6,16,13,9,2,2,1,0,0,1.85,3.3,4.75
18/10/2025,Barcelona,Girona,2,1,H,1,1,D,Jesús Gil,27,11,9,4,10,7,11,5,1,2,0,0,1.2,7.0,12.0
18/10/2025,Villarreal,Betis,2,2,D,1,0,H,Francisco Hernández,7,16,3,3,13,10,5,6,1,1,0,0,1.91,3.6,4.0
18/10/2025,Ath Madrid,Osasuna,1,0,H,0,0,D,Ricardo de Burgos,18,9,9,2,10,11,4,2,1,3,0,0,1.38,4.75,8.5
19/10/2025,Elche,Ath Bilbao,0,0,D,0,0,D,José Guzmán,15,4,5,1,14,20,6,2,2,3,0,0,3.75,3.25,2.1
19/10/2025,Celta,Sociedad,1,1,D,1,0,H,Juan Martínez,4,17,1,7,10,20,1,10,4,3,1,0,2.1,3.4,3.5
19/10/2025,Levante,Vallecano,0,3,A,0,2,A,Miguel Sesma,17,10,4,5,6,18,11,4,0,1,0,0,2.88,3.25,2.5
19/10/2025,Getafe,Real Madrid,0,1,A,0,0,D,José Luis Munuera,7,23,1,10,27,11,1,4,4,1,2,0,8.0,4.33,1.42
20/10/2025,Alaves,Valencia,0,0,D,0,0,D,Iosu Galech,13,5,3,2,13,20,7,0,1,2,0,0,2.25,3.0,3.6
24/10/2025,Sociedad,Sevilla,2,1,H,2,1,H,Adrián Cordero,5,6,3,1,19,14,1,9,1,3,0,0,1.95,3.5,3.8
25/10/2025,Girona,Oviedo,3,3,D,0,1,A,Alejandro Muñíz,8,10,6,5,13,16,11,4,4,3,0,0,1.8,3.5,4.75
25/10/2025,Espanol,Elche,1,0,H,0,0,D,Ricardo de Burgos,16,13,7,4,14,15,4,2,4,2,0,0,1.95,3.25,4.1
25/10/2025,Ath Bilbao,Getafe,0,1,A,0,0,D,Isidro Díaz de Mera,7,8,4,3,15,14,1,5,1,3,0,0,1.67,3.5,6.0
25/10/2025,Valencia,Villarreal,0,2,A,0,1,A,Javier Alberola,15,12,3,5,13,14,7,5,2,4,0,0,3.1,3.6,2.2
26/10/2025,Mallorca,Levante,1,1,D,0,1,A,Miguel Ángel Ortiz Arias,20,13,4,5,8,13,5,4,3,2,0,0,2.1,3.3,3.6
26/10/2025,Real Madrid,Barcelona,2,1,H,2,1,H,César Soto,23,15,10,6,12,9,12,4,5,5,1,1,1.95,4.1,3.3
26/10/2025,Osasuna,Celta,2,3,A,2,1,H,Alejandro Hernández,17,11,7,5,10,13,6,2,3,4,0,0,2.35,3.2,3.2
26/10/2025,Vallecano,Alaves,1,0,H,0,0,D,Víctor García,15,12,5,2,13,11,7,5,1,3,0,0,2.1,3.1,3.9
27/10/2025,Betis,Ath Madrid,0,2,A,0,2,A,Juan Martínez,17,9,5,4,9,18,2,5,2,1,0,0,3.1,3.6,2.2
31/10/2025,Getafe,Girona,2,1,H,0,0,D,Jose Maria Sánchez,12,8,4,4,17,15,8,3,1,1,0,0,2.15,3.0,3.8
01/11/2025,Villarreal,Vallecano,4,0,H,1,0,H,Iosu Galech,16,13,7,3,7,11,3,5,1,1,0,0,1.7,3.8,5.0
01/11/2025,Ath Madrid,Sevilla,3,0,H,0,0,D,Francisco Hernández,15,10,6,2,9,12,9,4,0,3,0,0,1.33,5.0,9.0
01/11/2025,Sociedad,Ath Bilbao,3,2,H,1,1,D,José Luis Munuera,9,11,5,4,20,8,6,2,2,3,0,0,2.7,3.0,2.8
