Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
15/08/24,Ath Bilbao,Getafe,1,1,D,1,0,H,Alejandro Muñíz,7,9,4,2,15,12,5,6,4,1,0,0,1.48,4.0,8.0,5.105,14.611
15/08/24,Betis,Girona,1,1,D,1,0,H,Miguel Ángel Ortiz Arias,19,13,4,2,11,7,4,4,2,0,0,0,2.35,3.4,3.0,12.852,9.909
16/08/24,Celta,Alaves,2,1,H,0,1,A,Alejandro Quintero,6,10,4,2,8,23,3,3,3,2,0,0,2.0,3.2,4.1,5.52,11.793
16/08/24,Las Palmas,Sevilla,2,2,D,1,1,D,Francisco Hernández,13,16,5,5,12,13,6,3,0,0,0,0,2.8,3.25,2.63,11.0,14.667
17/08/24,Osasuna,Leganes,1,1,D,0,1,A,Juan Pulido,16,10,5,4,14,12,6,4,3,2,0,0,1.85,3.3,4.5,7.7,7.654
17/08/24,Valencia,Barcelona,1,2,A,1,1,D,Jose Maria Sánchez,6,18,1,8,11,13,3,8,2,3,0,0,4.75,3.8,1.73,14.955,7.154
18/08/24,Sociedad,Vallecano,1,2,A,0,0,D,Alejandro Hernández,11,12,5,5,14,21,10,5,2,4,0,0,1.57,3.75,7.0,6.0,7.152
18/08/24,Mallorca,Real Madrid,1,1,D,0,1,A,César Soto,12,13,5,4,11,6,8,7,1,0,0,1,8.0,4.2,1.45,19.684,16.727
19/08/24,Valladolid,Espanol,1,0,H,1,0,H,Pablo González,12,10,3,2,15,8,3,2,2,2,0,0,2.38,3.0,3.4,16.316,11.85
19/08/24,Villarreal,Ath Madrid,2,2,D,2,2,D,Guillermo Cuadra,8,10,3,5,6,10,2,3,1,3,0,0,3.3,3.7,2.1,16.957,16.529
23/08/24,Celta,Valencia,3,1,H,2,1,H,José Luis Munuera,7,13,5,5,9,11,4,7,3,0,0,0,2.1,3.4,3.6,14.684,15.7
23/08/24,Sevilla,Villarreal,1,2,A,1,1,D,Isidro Díaz de Mera,15,6,9,5,15,7,7,2,3,5,0,0,2.4,3.6,2.8,6.852,23.267
24/08/24,Osasuna,Mallorca,1,0,H,0,0,D,Adrián Cordero,15,11,5,2,10,8,5,4,2,1,0,0,2.45,3.1,3.1,6.156,9.312
24/08/24,Barcelona,Ath Bilbao,2,1,H,1,1,D,Jesús Gil,13,9,5,2,11,16,5,6,4,5,0,0,1.62,4.2,5.0,7.682,19.105
24/08/24,Espanol,Sociedad,0,1,A,0,0,D,Mario Melero,13,8,3,4,14,18,7,4,2,2,0,0,3.9,3.2,2.05,22.0,4.071
24/08/24,Getafe,Vallecano,0,0,D,0,0,D,Javier Alberola,12,3,0,1,16,18,3,2,1,2,0,0,2.45,3.0,3.2,5.696,3.654
25/08/24,Real Madrid,Valladolid,3,0,H,0,0,D,Víctor García,17,8,9,2,10,15,5,5,1,1,0,0,1.18,7.5,15.0,8.75,11.84
25/08/24,Leganes,Las Palmas,2,1,H,0,0,D,Ricardo de Burgos,10,10,5,5,11,10,3,7,1,1,0,0,2.25,3.0,3.6,16.45,8.591
25/08/24,Alaves,Betis,0,0,D,0,0,D,Mateo Busquets,3,13,1,3,16,13,3,8,1,4,1,0,2.38,3.1,3.25,10.469,7.278
25/08/24,Ath Madrid,Girona,3,0,H,1,0,H,Juan Martínez,11,13,6,5,11,10,1,9,1,3,0,0,1.6,4.1,5.5,14.9,11.333
26/08/24,Villarreal,Celta,4,3,H,1,2,A,Miguel Ángel Ortiz Arias,22,18,9,8,8,6,7,4,4,3,0,0,1.91,3.4,3.8,17.421,20.167
27/08/24,Mallorca,Sevilla,0,0,D,0,0,D,Alejandro Muñíz,12,16,4,7,15,10,5,9,0,1,0,1,2.38,3.1,3.25,13.409,13.5
27/08/24,Vallecano,Barcelona,1,2,A,1,0,H,César Soto,8,22,4,5,17,11,6,6,3,1,0,0,5.25,3.8,1.62,7.853,9.4
28/08/24,Ath Bilbao,Valencia,1,0,H,1,0,H,Pablo González,13,2,4,0,14,9,5,3,1,3,0,0,1.62,3.9,5.75,7.212,13.056
28/08/24,Valladolid,Leganes,0,0,D,0,0,D,Alejandro Quintero,12,8,2,1,13,19,4,4,1,5,0,0,2.3,3.0,3.6,9.435,13.917
28/08/24,Ath Madrid,Espanol,0,0,D,0,0,D,Ricardo de Burgos,24,8,7,1,6,9,9,3,0,2,0,0,1.3,5.25,11.0,19.455,25.833
28/08/24,Sociedad,Alaves,1,2,A,1,1,D,Jose Maria Sánchez,8,12,1,5,16,12,8,6,4,4,1,0,1.7,3.5,5.75,10.538,11.733
29/08/24,Girona,Osasuna,4,0,H,1,0,H,Francisco Hernández,10,1,5,0,10,9,5,0,0,0,0,0,1.7,4.0,4.33,9.444,20.312
29/08/24,Las Palmas,Real Madrid,1,1,D,1,0,H,Mateo Busquets,7,25,3,8,16,13,2,6,0,2,0,0,8.0,5.0,1.38,13.421,11.75
31/08/24,Barcelona,Valladolid,7,0,H,3,0,H,Isidro Díaz de Mera,23,5,10,2,6,12,10,1,0,3,0,0,1.25,6.25,10.0,6.577,24.667
