Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
12/08/22,Osasuna,Sevilla,2,1,H,1,1,D,Carlos del Cerro,12,10,5,3,16,9,5,2,5,3,0,0,3.2,3.1,2.4,15.773,7.1
13/08/22,Celta,Espanol,2,2,D,1,0,H,Miguel Ángel Ortiz Arias,8,10,3,2,17,15,3,3,5,2,0,0,1.8,3.75,4.75,7.929,8.026
13/08/22,Valladolid,Villarreal,0,3,A,0,0,D,Mario Melero,12,10,6,4,6,10,4,5,1,0,0,0,3.9,3.6,1.9,8.423,9.56
13/08/22,Barcelona,Vallecano,0,0,D,0,0,D,Alejandro Hernández,21,4,6,2,16,14,8,0,3,6,1,0,1.22,7.0,12.0,4.424,11.7
14/08/22,Cadiz,Sociedad,0,1,A,0,1,A,Isidro Díaz de Mera,7,15,2,7,9,20,3,6,4,2,0,0,3.6,3.2,2.2,12.105,4.243
14/08/22,Valencia,Girona,1,0,H,1,0,H,Jorge Figueroa,17,5,2,1,18,14,4,4,2,3,1,0,1.85,3.4,4.5,9.261,9.474
14/08/22,Almeria,Real Madrid,1,2,A,1,0,H,Juan Martínez,10,29,6,15,11,4,2,15,3,1,0,0,7.5,5.0,1.4,32.2,19.9
15/08/22,Ath Bilbao,Mallorca,0,0,D,0,0,D,Javier Villanueva,23,6,6,2,13,12,7,2,0,6,0,0,1.6,3.75,6.5,6.947,10.867
15/08/22,Getafe,Ath Madrid,0,3,A,0,1,A,José Sánchez,10,12,0,5,14,19,3,6,2,1,0,0,5.0,3.1,1.9,14.833,8.76
15/08/22,Betis,Elche,3,0,H,2,0,H,Guillermo Cuadra,17,4,8,2,10,18,8,4,3,6,0,1,1.44,4.5,7.0,7.625,14.704
19/08/22,Espanol,Vallecano,0,2,A,0,1,A,Jorge Figueroa,13,8,1,3,12,17,9,2,2,5,1,1,2.45,3.1,3.1,16.125,19.692
19/08/22,Sevilla,Valladolid,1,1,D,0,0,D,Juan Pulido,18,6,2,3,20,10,12,2,3,2,1,1,1.5,4.2,6.5,4.969,11.952
20/08/22,Osasuna,Cadiz,2,0,H,1,0,H,Antonio Matéu Lahoz,16,9,3,2,11,13,2,2,2,5,0,1,1.9,3.25,4.5,6.379,18.273
20/08/22,Mallorca,Betis,1,2,A,0,1,A,Pablo González,13,8,7,3,22,17,5,2,7,8,0,0,3.1,3.2,2.4,9.08,8.25
20/08/22,Celta,Real Madrid,1,4,A,1,2,A,Jesús Gil,15,16,2,7,12,8,2,2,2,2,0,0,4.5,4.2,1.66,12.48,12.68
21/08/22,Ath Bilbao,Valencia,1,0,H,1,0,H,César Soto,12,10,2,0,11,15,6,3,5,2,0,0,1.8,3.75,4.5,15.833,6.04
21/08/22,Ath Madrid,Villarreal,0,2,A,0,0,D,Ricardo de Burgos,13,19,5,5,8,11,5,6,2,3,1,0,1.85,3.5,4.33,20.353,16.556
21/08/22,Sociedad,Barcelona,1,4,A,1,1,D,José Luis Munuera,10,15,5,7,16,9,3,6,2,1,0,0,3.3,3.6,2.1,12.179,8.385
22/08/22,Elche,Almeria,1,1,D,1,1,D,Isidro Díaz de Mera,13,12,3,7,12,16,6,5,1,4,0,1,2.5,3.2,3.0,11.632,6.212
22/08/22,Girona,Getafe,3,1,H,1,0,H,Alejandro Muñíz,12,7,6,3,16,18,5,2,3,6,0,1,2.8,2.9,2.9,6.045,14.583
26/08/22,Girona,Celta,0,1,A,0,0,D,Carlos del Cerro,11,11,3,6,16,13,2,4,2,1,0,0,2.8,3.1,2.75,11.8,12.231
26/08/22,Betis,Osasuna,1,0,H,1,0,H,Juan Martínez,7,12,1,2,9,21,2,4,0,3,1,0,1.8,3.6,4.75,9.882,7.758
27/08/22,Elche,Sociedad,0,1,A,0,1,A,Javier Villanueva,12,9,5,5,13,18,4,6,3,3,0,0,3.6,3.2,2.15,15.722,4.892
27/08/22,Vallecano,Mallorca,0,2,A,0,1,A,José Sánchez,15,9,0,4,11,18,7,3,1,3,0,0,2.05,3.25,4.0,5.714,16.278
27/08/22,Almeria,Sevilla,2,1,H,1,1,D,Jesús Gil,11,13,5,5,18,11,5,2,5,8,0,0,3.6,3.25,2.15,13.682,11.167
28/08/22,Getafe,Villarreal,0,0,D,0,0,D,Jorge Figueroa,8,11,2,6,11,19,1,4,1,5,0,0,4.33,3.4,1.85,13.85,6.5
28/08/22,Barcelona,Valladolid,4,0,H,2,0,H,Ricardo de Burgos,24,8,9,3,9,8,14,4,0,3,0,0,1.14,8.5,15.0,7.583,22.692
28/08/22,Espanol,Real Madrid,1,3,A,1,1,D,Mario Melero,15,19,4,6,15,12,7,7,0,0,1,0,6.5,4.75,1.45,25.077,10.214
29/08/22,Cadiz,Ath Bilbao,0,4,A,0,1,A,Miguel Ángel Ortiz Arias,9,20,3,8,18,4,0,6,2,1,0,0,3.6,3.2,2.15,15.4,12.667
29/08/22,Valencia,Ath Madrid,0,1,A,0,0,D,Guillermo Cuadra,12,13,2,7,15,17,6,2,4,3,0,0,4.0,3.3,2.0,8.056,19.294
02/09/22,Celta,Cadiz,3,0,H,0,0,D,Juan Pulido,9,7,5,0,13,23,2,2,1,2,0,0,1.66,3.6,5.5,12.733,8.359
03/09/22,Mallorca,Girona,1,1,D,0,0,D,Isidro Díaz de Mera,10,10,4,4,23,9,6,3,4,2,0,0,2.15,3.2,3.6,7.7,11.556
