Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
13/08/21,Valencia,Getafe,1,0,H,1,0,H,Jesús Gil,4,22,2,4,24,15,1,9,6,3,1,1,2.55,3.0,3.1,10.15,4.438
14/08/21,Cadiz,Levante,1,1,D,0,1,A,Santiago Jaime,7,12,2,3,10,16,2,4,1,5,0,0,2.8,3.25,2.6,17.438,7.286
14/08/21,Mallorca,Betis,1,1,D,1,0,H,Antonio Matéu Lahoz,6,10,2,1,12,18,4,3,1,3,0,0,3.3,3.4,2.2,18.722,6.72
14/08/21,Alaves,Real Madrid,1,4,A,0,0,D,César Soto,11,19,4,7,14,10,0,4,1,2,0,0,7.0,4.75,1.44,15.045,12.5
14/08/21,Osasuna,Espanol,0,0,D,0,0,D,Miguel Ángel Ortiz Arias,14,10,1,3,18,12,4,6,3,3,0,0,2.25,3.2,3.4,5.027,7.2
15/08/21,Celta,Ath Madrid,1,2,A,0,1,A,José Luis Munuera,10,13,2,4,11,9,2,5,4,5,1,1,4.2,3.4,1.9,7.333,15.737
15/08/21,Barcelona,Sociedad,4,2,H,2,0,H,Alejandro Hernández,13,11,8,3,11,18,5,3,2,4,0,0,1.72,4.0,4.5,6.857,12.0
15/08/21,Sevilla,Vallecano,3,0,H,1,0,H,Isidro Díaz de Mera,21,4,8,3,14,7,4,0,1,0,0,1,1.44,4.2,8.0,5.818,33.0
16/08/21,Villarreal,Granada,0,0,D,0,0,D,Pablo González,14,6,4,1,19,21,6,2,5,1,1,0,1.53,4.2,6.5,4.297,9.194
16/08/21,Elche,Ath Bilbao,0,0,D,0,0,D,Adrián Cordero,8,9,2,3,13,19,6,8,2,2,0,0,3.8,3.3,2.05,12.133,8.241
20/08/21,Betis,Cadiz,1,1,D,1,1,D,Valentín Pizarro,16,8,7,3,12,10,4,5,4,0,0,0,1.5,4.2,7.0,3.522,30.333
21/08/21,Alaves,Mallorca,0,1,A,0,0,D,Alejandro Muñíz,9,12,4,2,14,15,1,8,3,3,1,0,2.25,3.2,3.4,8.32,8.526
