Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
16/08/19,Ath Bilbao,Barcelona,1,0,H,0,0,D,Carlos del Cerro,11,11,5,2,14,9,3,8,1,1,0,0,5.25,3.8,1.65,15.0,7.062
17/08/19,Celta,Real Madrid,1,3,A,0,1,A,Daniel Ask,7,17,4,11,17,12,6,4,5,2,0,1,4.75,4.2,1.65,11.368,14.087
17/08/19,Valencia,Sociedad,1,1,D,0,0,D,Jesús Gil,14,12,6,3,13,14,3,3,4,4,1,0,1.66,3.75,5.5,18.3,7.269
17/08/19,Mallorca,Eibar,2,1,H,1,0,H,Mario Melero,16,11,4,5,13,14,9,3,2,3,0,0,2.8,3.2,2.6,15.176,6.955
17/08/19,Leganes,Osasuna,0,1,A,0,0,D,Hsu Jason,13,4,2,2,17,11,8,0,1,4,1,0,2.0,3.2,4.2,6.423,9.833
17/08/19,Villarreal,Granada,4,4,D,1,1,D,Adrián Cordero,12,14,7,7,10,16,2,7,3,1,0,0,1.6,3.8,6.5,8.435,12.826
18/08/19,Alaves,Levante,1,0,H,0,0,D,César Soto,9,16,2,4,18,15,2,9,2,1,0,0,2.15,3.2,3.6,13.15,4.913
18/08/19,Espanol,Sevilla,0,2,A,0,1,A,Juan Martínez,7,12,2,4,11,17,8,4,2,2,0,0,3.2,3.3,2.3,11.276,11.13
18/08/19,Betis,Valladolid,1,2,A,0,0,D,Santiago Jaime,13,14,4,3,11,19,6,1,2,6,1,0,1.66,3.75,5.5,23.818,8.133
18/08/19,Ath Madrid,Getafe,1,0,H,1,0,H,Guillermo Cuadra,5,6,5,0,19,22,3,4,3,4,1,1,1.44,4.33,8.0,6.895,11.571
23/08/19,Granada,Sevilla,0,1,A,0,0,D,José Sánchez,12,11,0,6,13,14,6,6,1,1,0,0,3.6,3.6,1.95,11.333,7.542
23/08/19,Levante,Villarreal,2,1,H,0,1,A,José Luis Munuera,16,23,4,6,5,9,7,3,1,2,0,0,2.55,3.4,2.62,9.885,11.0
24/08/19,Osasuna,Eibar,0,0,D,0,0,D,David Medié,6,12,2,0,15,12,6,6,4,4,0,0,2.5,3.2,2.9,4.125,4.542
24/08/19,Real Madrid,Valladolid,1,1,D,0,0,D,Pablo González,22,9,4,2,12,11,4,3,2,2,0,0,1.2,6.5,13.0,7.72,18.944
24/08/19,Celta,Valencia,1,0,H,1,0,H,Alejandro Hernández,11,9,6,1,8,12,6,4,1,2,0,0,3.1,3.4,2.25,18.917,10.69
24/08/19,Getafe,Ath Bilbao,1,1,D,1,1,D,Antonio Matéu Lahoz,6,4,2,2,15,11,4,6,2,1,0,0,2.6,3.0,2.9,7.0,5.421
25/08/19,Alaves,Espanol,0,0,D,0,0,D,Eduardo Prieto,10,5,2,1,13,10,3,5,3,1,0,0,2.45,3.2,3.0,14.852,8.722
