Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,Season,Home_EMA_Points,Home_EMA_GS,Home_EMA_GC,Away_EMA_Points,Away_EMA_GS,Away_EMA_GC,Home_Expected_Offense,Away_Expected_Offense,Target
2015-09-22,Ath Madrid,Getafe,2,0,H,12,6,3,2,6,1,15-16,2.3333333333333335,1.6296296296296298,0.4444444444444445,1.0,0.7037037037037037,1.2592592592592595,0.0,0.0,2
2015-09-22,Granada,Sociedad,0,3,A,11,8,1,5,4,3,15-16,0.44444444444444453,0.814814814814815,2.037037037037037,0.44444444444444453,0.6666666666666666,1.2222222222222223,0.0,0.0,0
2015-09-22,Espanol,Valencia,1,0,H,17,10,5,4,7,6,15-16,1.888888888888889,1.4444444444444446,2.4444444444444446,1.4444444444444446,0.3703703703703704,0.14814814814814817,0.0,0.0,2
2015-09-23,Ath Bilbao,Real Madrid,1,2,A,11,22,5,6,6,8,15-16,0.6666666666666667,1.0,1.8148148148148149,2.4074074074074074,2.4074074074074074,0.0,0.0,0.0,0
2015-09-23,Celta,Barcelona,4,1,H,18,18,5,7,5,10,15-16,2.555555555555556,2.3703703703703707,1.2962962962962965,3.0,2.2222222222222223,0.5555555555555556,0.0,0.0,2
2015-09-23,Las Palmas,Sevilla,2,0,H,12,17,4,3,5,5,15-16,0.3703703703703704,0.6666666666666667,1.2962962962962965,0.5185185185185187,0.5555555555555556,1.3333333333333335,0.0,0.0,2
2015-09-23,Levante,Eibar,2,2,D,12,10,2,4,4,7,15-16,0.3703703703703704,0.851851851851852,2.1481481481481484,1.5555555555555558,1.1851851851851856,0.962962962962963,0.0,0.0,1
2015-09-23,Malaga,Villarreal,0,1,A,15,9,4,3,8,5,15-16,0.5185185185185187,0.0,0.4814814814814815,2.4074074074074074,2.4074074074074074,1.0,0.0,0.0,0
2015-09-23,Vallecano,Sp Gijon,2,1,H,18,5,6,2,4,4,15-16,1.2962962962962963,0.5555555555555556,1.1111111111111114,1.4444444444444446,1.0,0.8888888888888888,0.0,0.0,2
2015-09-24,Betis,La Coruna,1,2,A,9,8,2,3,3,4,15-16,1.2962962962962965,0.5185185185185187,1.0370370370370372,1.1111111111111114,1.4814814814814816,1.3703703703703705,0.0,0.0,0
2015-09-25,Valencia,Granada,1,0,H,12,18,5,3,11,3,15-16,0.9629629629629632,0.24691358024691362,0.4320987654320988,0.2962962962962964,0.5432098765432101,2.358024691358025,0.0,0.0,2
2015-09-26,Eibar,Celta,1,1,D,10,9,3,2,4,4,15-16,1.3703703703703707,1.4567901234567904,1.308641975308642,2.703703703703704,2.9135802469135808,1.197530864197531,0.0,0.0,1
2015-09-26,Villarreal,Ath Madrid,1,0,H,5,9,2,4,1,5,15-16,2.6049382716049383,1.9382716049382718,0.6666666666666667,2.555555555555556,1.7530864197530867,0.29629629629629634,0.0,0.0,2
2015-09-26,Barcelona,Las Palmas,2,1,H,18,10,6,6,3,4,15-16,2.0,1.814814814814815,1.7037037037037037,1.2469135802469136,1.1111111111111112,0.8641975308641978,0.0,0.0,2
2015-09-26,Sevilla,Vallecano,3,2,H,17,18,8,5,6,5,15-16,0.34567901234567916,0.3703703703703704,1.5555555555555558,1.8641975308641976,1.037037037037037,1.0740740740740744,0.0,0.0,2
