Player,Team,Assists,Matches Played,Coefficient,xA,Season
Vinícius,Real Madrid,3,35,0.09,,20-21
Edu Expósito,Eibar,3,31,0.1,,20-21
Portu,Sociedad,3,37,0.08,,20-21
Joselu,Alaves,3,37,0.08,,20-21
Morales,Levante,3,38,0.08,,20-21
Pere Milla,Elche,3,32,0.09,,20-21
Pacha Espino,Cadiz,3,32,0.09,,20-21
O. Dembélé,Barcelona,3,30,0.1,,20-21
Deyverson,Alaves,3,27,0.11,,20-21
Aarón Martín,Celta,3,19,0.16,,20-21
Fidel,Elche,3,30,0.1,,20-21
Cucho,Getafe,3,23,0.13,,20-21
Yuri,Ath Bilbao,3,23,0.13,,20-21
J. Calleri,Osasuna,3,25,0.12,,20-21
Jorge Miramón,Levante,3,26,0.12,,20-21
D. Cheryshev,Valencia,3,21,0.14,,20-21
Thomas Lemar,Ath Madrid,3,27,0.11,,20-21
Alberto Perea,Cadiz,3,27,0.11,,20-21
Kenedy,Granada,3,28,0.11,,20-21
Iker Muniain,Ath Bilbao,3,28,0.11,,20-21
Cristian Tello,Betis,3,29,0.1,,20-21
Bryan Gil,Eibar,3,29,0.1,,20-21
A. Barragán,Elche,3,27,0.11,,20-21
Ilaix Moriba,Barcelona,2,14,0.14,,20-21
Marcelo,Real Madrid,2,16,0.13,,20-21
A. Solari,Celta,2,16,0.13,,20-21
Rober Correa,Eibar,2,15,0.13,,20-21
Sergi Roberto,Barcelona,2,15,0.13,,20-21
Alberto Soro,Granada,2,15,0.13,,20-21
Toño García,Levante,2,12,0.17,,20-21
E. Hazard,Real Madrid,2,14,0.14,,20-21
Dani Carvajal,Real Madrid,2,13,0.15,,20-21
P. Coutinho,Barcelona,2,12,0.17,,20-21
J. Campaña,Levante,2,9,0.22,,20-21
C. Oliva,Valencia,2,9,0.22,,20-21
C. Fernández,Sociedad,2,16,0.13,,20-21
O. Dembélé,Barcelona,13,21,0.62,9.2,21-22
K. Benzema,Real Madrid,13,32,0.41,7.4,21-22
Jordi Alba,Barcelona,10,30,0.33,5.8,21-22
Dani Parejo,Villarreal,10,33,0.3,7.6,21-22
Iker Muniain,Ath Bilbao,10,35,0.29,8.4,21-22
Vinícius,Real Madrid,10,35,0.29,7.7,21-22
Óscar Trejo,Vallecano,9,32,0.28,4.5,21-22
Sergi Darder,Espanol,9,36,0.25,3.3,21-22
Luka Modrić,Real Madrid,8,28,0.29,5.1,21-22
Sergio Canales,Betis,8,34,0.24,5.9,21-22
Nabil Fekir,Betis,8,34,0.24,6.9,21-22
Morales,Levante,7,35,0.2,3.8,21-22
Jorge De Frutos,Levante,7,25,0.28,3.2,21-22
Fidel,Elche,6,33,0.18,4.1,21-22
Álex Berenguer,Ath Bilbao,6,34,0.18,5.4,21-22
Y. Carrasco,Ath Madrid,6,34,0.18,6.9,21-22
Ivan Rakitić,Sevilla,6,35,0.17,3.3,21-22
G. Guedes,Valencia,6,36,0.17,4.8,21-22
Rubén García,Osasuna,6,37,0.16,4.2,21-22
Ángel Correa,Ath Madrid,5,36,0.14,3.7,21-22
Denis Suárez,Celta,5,38,0.13,4.6,21-22
I. Williams,Ath Bilbao,5,38,0.13,4.6,21-22
Iago Aspas,Celta,5,37,0.14,5.8,21-22
Brais Méndez,Celta,5,37,0.14,3.9,21-22
Álvaro García,Vallecano,5,36,0.14,6.8,21-22
Carlos Soler,Valencia,5,32,0.16,4.4,21-22
Jorge Molina,Granada,5,35,0.14,3.1,21-22
Johan Mojica,Elche,5,33,0.15,4.6,21-22
M. Arambarri,Getafe,5,31,0.16,2.7,21-22
Boulaye Dia,Villarreal,5,25,0.2,1.5,21-22
Thomas Lemar,Ath Madrid,5,24,0.21,3.7,21-22
Gavi,Barcelona,5,34,0.15,4.1,21-22
Pablo Maffeo,Mallorca,4,35,0.11,3.2,21-22
Juanmi,Betis,4,33,0.12,1.3,21-22
A. Gorosabel,Sociedad,4,32,0.13,3.3,21-22
Willian José,Betis,4,32,0.13,2.6,21-22
Matheus Cunha,Ath Madrid,4,29,0.14,1.7,21-22
Rubén Duarte,Alaves,4,34,0.12,2.6,21-22
A. Griezmann,Ath Madrid,4,29,0.14,3.1,21-22
Lucas Ocampos,Sevilla,4,30,0.13,2.5,21-22
Isi Palazón,Vallecano,4,34,0.12,2.9,21-22
Luis Suárez,Granada,4,37,0.11,1.2,21-22
Joselu,Alaves,4,37,0.11,3.6,21-22
Manu Trigueros,Villarreal,4,35,0.11,3.3,21-22
Ferran Torres,Barcelona,4,18,0.22,2.6,21-22
Rodrygo,Real Madrid,4,33,0.12,2.7,21-22
Jaume Costa,Mallorca,4,25,0.16,2.7,21-22
Tecatito,Sevilla,4,18,0.22,2.9,21-22
João Félix,Ath Madrid,4,24,0.17,2.6,21-22
David Silva,Sociedad,4,25,0.16,5.1,21-22
José Gayà,Valencia,4,24,0.17,2.5,21-22
Oihan Sancet,Ath Bilbao,4,27,0.15,2.3,21-22
A. Pedraza,Villarreal,4,28,0.14,4.4,21-22
G. Gumbau,Elche,4,31,0.13,2.0,21-22
Yéremy Pino,Villarreal,4,31,0.13,2.7,21-22
Manu Sánchez,Osasuna,3,33,0.09,3.0,21-22
Santi Mina,Celta,3,33,0.09,1.7,21-22
Luka Jović,Real Madrid,3,15,0.2,0.6,21-22
Luis Rioja,Alaves,3,37,0.08,4.2,21-22
J. Moncayola,Osasuna,3,36,0.08,2.6,21-22
Vedat Muriqi,Mallorca,3,16,0.19,1.0,21-22
Raúl De Tomás,Espanol,3,34,0.09,1.8,21-22
M. Olivera,Getafe,3,32,0.09,1.9,21-22
L. Suárez,Ath Madrid,3,35,0.09,1.2,21-22
Luis Milla,Granada,3,34,0.09,3.8,21-22
F. De Jong,Barcelona,3,32,0.09,4.1,21-22
D. Alves,Barcelona,3,14,0.21,3.1,21-22
Franco Cervi,Celta,3,33,0.09,1.4,21-22
D. Suárez,Getafe,3,35,0.09,4.6,21-22
Dani Rodríguez,Mallorca,3,36,0.08,2.9,21-22
Gerard Moreno,Villarreal,3,17,0.18,3.7,21-22
Casemiro,Real Madrid,3,32,0.09,2.9,21-22
Javi Galán,Celta,3,37,0.08,3.1,21-22
Tete Morente,Elche,3,32,0.09,2.5,21-22
W. Carvalho,Betis,3,33,0.09,1.4,21-22
Lucas Pérez,Cadiz,3,33,0.09,4.7,21-22
Rubén Rochina,Granada,3,15,0.2,1.0,21-22
C. Aleñá,Getafe,3,33,0.09,1.4,21-22
Adama Traoré,Barcelona,2,11,0.18,1.0,21-22
Marcelo,Real Madrid,2,12,0.17,0.8,21-22
A. Griezmann,Ath Madrid,16,38,0.42,9.8,22-23
Vinícius,Real Madrid,9,33,0.27,8.8,22-23
Mikel Merino,Sociedad,9,33,0.27,5.0,22-23
R. De Paul,Ath Madrid,8,30,0.27,3.8,22-23
Rodrygo,Real Madrid,8,34,0.24,6.2,22-23
L. Robertone,Almeria,8,37,0.22,4.5,22-23
Brian Oliván,Espanol,7,30,0.23,3.9,22-23
R. Lewandowski,Barcelona,7,34,0.21,5.3,22-23
Kang-In Lee,Mallorca,7,36,0.19,5.0,22-23
Raphinha,Barcelona,7,36,0.19,9.3,22-23
Kike Barja,Osasuna,6,27,0.22,0.0,22-23
V. Tsygankov,Girona,6,19,0.32,3.0,22-23
O. Dembélé,Barcelona,6,25,0.24,5.0,22-23
M. Asensio,Real Madrid,6,31,0.19,4.2,22-23
Aimar Oroz,Osasuna,6,31,0.19,2.3,22-23
Yéremy Pino,Villarreal,6,36,0.17,4.5,22-23
Dani Rodríguez,Mallorca,6,35,0.17,2.4,22-23
G. Gumbau,Elche,6,35,0.17,6.1,22-23
O. De Marcos,Ath Bilbao,6,37,0.16,4.5,22-23
Álex Balde,Barcelona,6,33,0.18,3.8,22-23
David Silva,Sociedad,5,28,0.18,3.0,22-23
Aleix García,Girona,5,30,0.17,6.0,22-23
G. Plata,Valladolid,5,34,0.15,2.6,22-23
Carles Pérez,Celta,5,35,0.14,1.7,22-23
Álvaro García,Vallecano,5,35,0.14,4.9,22-23
S. Chukwueze,Villarreal,5,37,0.14,4.4,22-23
Isi Palazón,Vallecano,5,37,0.14,5.9,22-23
Sergio Camello,Vallecano,5,38,0.13,1.7,22-23
F. De Jong,Barcelona,4,33,0.12,6.3,22-23
J. Larsen,Celta,4,32,0.13,1.1,22-23
Dani Ceballos,Real Madrid,4,30,0.13,2.0,22-23
Toni Kroos,Real Madrid,4,30,0.13,5.5,22-23
Franco Cervi,Celta,4,36,0.11,2.9,22-23
Adrián Embarba,Almeria,4,30,0.13,2.7,22-23
N. Jackson,Villarreal,4,26,0.15,2.0,22-23
Hugo Guillamón,Valencia,4,25,0.16,1.5,22-23
Luis Suárez,Almeria,4,21,0.19,1.5,22-23
Arnau Martínez,Girona,4,33,0.12,3.2,22-23
Sergio Busquets,Barcelona,4,30,0.13,3.7,22-23
A. Tchouaméni,Real Madrid,4,33,0.12,2.1,22-23
Suso,Sevilla,4,25,0.16,3.2,22-23
André Almeida,Valencia,4,34,0.12,4.0,22-23
Pacha Espino,Cadiz,4,36,0.11,3.7,22-23
F. Valverde,Real Madrid,4,34,0.12,5.1,22-23
Sergi Darder,Espanol,4,38,0.11,6.3,22-23
Nico Williams,Ath Bilbao,4,36,0.11,4.1,22-23
Gavi,Barcelona,4,36,0.11,3.8,22-23
Óscar Trejo,Vallecano,4,34,0.12,2.9,22-23
Dani Parejo,Villarreal,4,37,0.11,5.1,22-23
Gabri Veiga,Celta,4,36,0.11,2.9,22-23
Vedat Muriqi,Mallorca,4,35,0.11,1.7,22-23
Take Kubo,Sociedad,4,35,0.11,5.4,22-23
R. Riquelme,Girona,4,34,0.12,3.8,22-23
Brais Méndez,Sociedad,4,34,0.12,4.8,22-23
Jordi Alba,Barcelona,3,24,0.13,6.7,22-23
Álex Pozo,Almeria,3,30,0.1,1.4,22-23
João Félix,Ath Madrid,3,14,0.21,1.0,22-23
Álex Moreno,Betis,3,15,0.2,1.4,22-23
Pape Gueye,Sevilla,3,16,0.19,0.9,22-23
Cyle Larin,Valladolid,3,19,0.16,1.1,22-23
Gerard Moreno,Villarreal,3,21,0.14,1.4,22-23
G. Lo Celso,Villarreal,3,22,0.14,3.1,22-23
David Alaba,Real Madrid,3,23,0.13,1.3,22-23
Iván Martín,Girona,3,24,0.13,2.1,22-23
Thomas Lemar,Ath Madrid,3,27,0.11,1.6,22-23
K. Benzema,Real Madrid,3,24,0.13,5.5,22-23
Aleix Vidal,Espanol,3,25,0.12,1.3,22-23
Toni Villa,Girona,3,26,0.12,1.3,22-23
A. Pedraza,Villarreal,3,26,0.12,1.3,22-23
Josan,Elche,3,26,0.12,0.6,22-23
Luis Milla,Getafe,3,27,0.11,1.6,22-23
G. Melero,Almeria,3,27,0.11,1.3,22-23
Gonzalo Montiel,Sevilla,3,28,0.11,2.5,22-23
Jules Koundé,Barcelona,3,29,0.1,2.3,22-23
Iker Muniain,Ath Bilbao,3,30,0.1,3.9,22-23
Rodri,Betis,3,30,0.1,2.1,22-23
Ivan Rakitić,Sevilla,3,31,0.1,2.7,22-23
T. Bongonda,Cadiz,3,31,0.1,2.4,22-23
Javi Galán,Celta,3,37,0.08,4.2,22-23
Raúl García,Ath Bilbao,3,35,0.09,0.8,22-23
José Gayà,Valencia,3,31,0.1,5.6,22-23
Sergio Canales,Betis,3,31,0.1,5.1,22-23
A. Raíllo,Mallorca,3,31,0.1,0.6,22-23
Luka Modrić,Real Madrid,3,33,0.09,4.2,22-23
Koke,Ath Madrid,3,33,0.09,1.7,22-23
Luiz Henrique,Betis,3,33,0.09,2.1,22-23
Miguel Gutiérrez,Girona,3,34,0.09,3.1,22-23
Portu,Getafe,3,34,0.09,2.6,22-23
A. Sørloth,Sociedad,3,34,0.09,1.9,22-23
I. Williams,Ath Bilbao,3,36,0.08,4.1,22-23
Borja Iglesias,Betis,3,35,0.09,2.2,22-23
Enes Ünal,Getafe,3,35,0.09,1.9,22-23
Y. Carrasco,Ath Madrid,3,35,0.09,4.1,22-23
Pablo Maffeo,Mallorca,3,35,0.09,2.7,22-23
Ansu Fati,Barcelona,3,36,0.08,2.3,22-23
M. Zubimendi,Sociedad,3,36,0.08,2.2,22-23
Mikel Vesga,Ath Bilbao,3,36,0.08,1.8,22-23
J. Moncayola,Osasuna,3,37,0.08,2.2,22-23
Iago Aspas,Celta,3,37,0.08,5.4,22-23
Álex Baena,Villarreal,14,34,0.41,9.5,23-24
Nico Williams,Ath Bilbao,11,31,0.35,7.5,23-24
Iago Aspas,Celta,10,35,0.29,9.3,23-24
Savinho,Girona,10,37,0.27,9.9,23-24
Raphinha,Barcelona,9,28,0.32,5.0,23-24
İ. Gündoğan,Barcelona,9,36,0.25,9.8,23-24
Toni Kroos,Real Madrid,8,33,0.24,5.9,23-24
Yan Couto,Girona,8,34,0.24,4.3,23-24
R. Lewandowski,Barcelona,8,35,0.23,3.6,23-24
Artem Dovbyk,Girona,8,36,0.22,3.7,23-24
Diego Rico,Getafe,7,32,0.22,3.4,23-24
F. Valverde,Real Madrid,7,37,0.19,3.4,23-24
Miguel Gutiérrez,Girona,7,35,0.2,6.8,23-24
J. Bellingham,Real Madrid,7,28,0.25,4.3,23-24
Brahim Díaz,Real Madrid,7,31,0.23,4.7,23-24
Gerard Moreno,Villarreal,7,30,0.23,4.6,23-24
V. Tsygankov,Girona,7,30,0.23,6.5,23-24
A. Sørloth,Villarreal,6,34,0.18,3.0,23-24
Aleix García,Girona,6,37,0.16,6.0,23-24
Jesús Areso,Osasuna,6,37,0.16,2.9,23-24
Diego López,Valencia,6,36,0.17,2.4,23-24
M. Greenwood,Getafe,6,33,0.18,4.3,23-24
Brais Méndez,Sociedad,6,32,0.19,4.4,23-24
Luka Modrić,Real Madrid,6,32,0.19,4.8,23-24
Lucas Vázquez,Real Madrid,6,29,0.21,3.6,23-24
A. Griezmann,Ath Madrid,6,33,0.18,5.8,23-24
Dani Parejo,Villarreal,5,33,0.15,4.0,23-24
Lamine Yamal,Barcelona,5,37,0.14,6.5,23-24
Sergi Darder,Mallorca,5,36,0.14,5.0,23-24
Portu,Girona,5,36,0.14,2.5,23-24
S. Lino,Ath Madrid,5,34,0.15,9.9,23-24
R. De Paul,Ath Madrid,5,34,0.15,6.2,23-24
Rodrygo,Real Madrid,5,34,0.15,4.2,23-24
R. Riquelme,Ath Madrid,5,34,0.15,3.7,23-24
G. Guruzeta,Ath Bilbao,5,32,0.16,1.8,23-24
Isco,Betis,5,29,0.17,6.4,23-24
L. Ramazani,Almeria,5,29,0.17,2.4,23-24
O. De Marcos,Ath Bilbao,5,28,0.18,3.4,23-24
Vinícius,Real Madrid,5,26,0.19,4.4,23-24
Manu Sánchez,Celta,5,26,0.19,3.0,23-24
Fran García,Real Madrid,5,25,0.2,1.8,23-24
Oihan Sancet,Ath Bilbao,5,30,0.17,2.9,23-24
Koke,Ath Madrid,4,35,0.11,3.0,23-24
Sergio Arribas,Almeria,4,34,0.12,3.3,23-24
L. Robertone,Almeria,4,33,0.12,2.2,23-24
Sergio Ruiz,Granada,4,35,0.11,1.8,23-24
Luis Rioja,Alaves,4,37,0.11,4.2,23-24
Iván Martín,Girona,4,36,0.11,3.3,23-24
Jon Guridi,Alaves,4,36,0.11,2.9,23-24
Dani Rodríguez,Mallorca,4,36,0.11,5.2,23-24
M. Llorente,Ath Madrid,4,37,0.11,4.5,23-24
Saúl,Ath Madrid,4,34,0.12,2.1,23-24
Fran Pérez,Valencia,4,32,0.13,2.1,23-24
Willian José,Betis,4,33,0.12,1.7,23-24
Adrià Pedrosa,Sevilla,4,31,0.13,2.0,23-24
L. De La Torre,Celta,4,31,0.13,1.5,23-24
Take Kubo,Sociedad,4,30,0.13,6.5,23-24
Suso,Sevilla,4,29,0.14,4.9,23-24
Jonathan Viera,Almeria,4,21,0.19,2.4,23-24
Carlos Vicente,Alaves,4,18,0.22,2.9,23-24
Isaac Romero,Sevilla,4,14,0.29,1.0,23-24
João Cancelo,Barcelona,4,32,0.13,6.7,23-24
M. Oyarzabal,Sociedad,3,33,0.09,1.3,23-24
Álex Sola,Alaves,3,31,0.1,2.1,23-24
Lucas Boyé,Granada,3,31,0.1,2.0,23-24
Javi López,Alaves,3,32,0.09,2.5,23-24
Á. Morata,Ath Madrid,3,32,0.09,1.6,23-24
Mikel Merino,Sociedad,3,32,0.09,2.8,23-24
G. Gumbau,Granada,3,35,0.09,4.0,23-24
I. Williams,Ath Bilbao,3,34,0.09,7.5,23-24
Álex Berenguer,Ath Bilbao,3,35,0.09,4.0,23-24
Gonzalo Villar,Granada,3,35,0.09,2.2,23-24
Lucas Ocampos,Sevilla,3,35,0.09,4.1,23-24
J. Larsen,Celta,3,37,0.08,2.1,23-24
Javi Muñoz,Las Palmas,3,37,0.08,1.8,23-24
C. Stuani,Girona,3,31,0.1,0.5,23-24
A. Catena,Osasuna,3,30,0.1,1.0,23-24
Johan Mojica,Osasuna,3,30,0.1,3.2,23-24
Chimy Ávila,Betis,3,23,0.13,2.8,23-24
Luiz Henrique,Betis,3,14,0.21,1.5,23-24
A. Pedraza,Villarreal,3,19,0.16,2.3,23-24
Nahuel Molina,Ath Madrid,3,30,0.1,2.2,23-24
Ander Herrera,Ath Bilbao,3,23,0.13,1.9,23-24
Roger Martí,Cadiz,3,23,0.13,1.3,23-24
W. Carvalho,Betis,3,22,0.14,0.7,23-24
Marc Pubill,Almeria,3,23,0.13,1.2,23-24
Iñigo Lekue,Ath Bilbao,3,27,0.11,0.9,23-24
Sandro,Las Palmas,3,27,0.11,9.9,23-24
A. Moleiro,Las Palmas,3,28,0.11,2.7,23-24
Dani Carvajal,Real Madrid,3,28,0.11,3.1,23-24
João Félix,Barcelona,3,30,0.1,2.6,23-24
Damián,Celta,2,5,0.4,1.1,23-24
Héctor Fort,Barcelona,2,7,0.29,0.5,23-24
Sergi Roberto,Barcelona,2,14,0.14,0.8,23-24
Ilaix Moriba,Getafe,2,14,0.14,0.4,23-24
Giuliano,Alaves,2,14,0.14,1.2,23-24
S. Becker,Sociedad,2,15,0.13,1.8,23-24
Pablo Fornals,Betis,2,15,0.13,2.0,23-24
D. Suárez,Getafe,2,16,0.13,1.1,23-24
G. Guedes,Villarreal,2,17,0.12,1.1,23-24
Lamine Yamal,Barcelona,13,35,0.37,11.6,24-25
Álex Baena,Villarreal,10,32,0.31,12.6,24-25
I. Williams,Ath Bilbao,9,35,0.26,4.2,24-25
Raphinha,Barcelona,9,36,0.25,10.1,24-25
Isco,Betis,8,22,0.36,3.9,24-25
Vinícius,Real Madrid,8,30,0.27,7.0,24-25
J. Bellingham,Real Madrid,8,31,0.26,4.5,24-25
Yéremy Pino,Villarreal,7,34,0.21,3.8,24-25
Sergi Cardona,Villarreal,7,35,0.2,4.6,24-25
Álex Berenguer,Ath Bilbao,7,36,0.19,4.4,24-25
Dani Rodríguez,Mallorca,7,37,0.19,3.4,24-25
A. Griezmann,Ath Madrid,7,38,0.18,6.5,24-25
Dani Raba,Leganes,6,29,0.21,4.6,24-25
Oliver Mcburnie,Las Palmas,6,34,0.18,1.0,24-25
Giuliano,Ath Madrid,6,33,0.18,4.7,24-25
C. Uche,Getafe,6,33,0.18,3.1,24-25
Nicolas Pépé,Villarreal,6,28,0.21,4.1,24-25
Ferran Torres,Barcelona,6,27,0.22,2.6,24-25
Bryan Zaragoza,Osasuna,6,27,0.22,5.1,24-25
Saúl,Sevilla,6,24,0.25,2.3,24-25
Álex Balde,Barcelona,4,32,0.13,12.6,24-25
A. Budimir,Osasuna,4,38,0.11,1.2,24-25
F. Valverde,Real Madrid,4,36,0.11,3.2,24-25
Thierno Barry,Villarreal,4,35,0.11,2.0,24-25
Isi Palazón,Vallecano,4,35,0.11,4.7,24-25
Javi Puado,Espanol,4,35,0.11,2.1,24-25
Juan Cruz,Leganes,4,34,0.12,3.7,24-25
André Almeida,Valencia,4,34,0.12,4.9,24-25
Luis Milla,Getafe,4,33,0.12,4.9,24-25
M. Llorente,Ath Madrid,4,33,0.12,3.1,24-25
Aimar Oroz,Osasuna,4,37,0.11,3.5,24-25
Juanlu Sánchez,Sevilla,4,32,0.13,1.7,24-25
Álvaro Tejero,Espanol,4,28,0.14,3.6,24-25
S. Lino,Ath Madrid,4,31,0.13,2.2,24-25
O. De Marcos,Ath Bilbao,4,26,0.15,2.2,24-25
Pablo Durán,Celta,4,27,0.15,1.0,24-25
I. Ruiz De Galarreta,Ath Bilbao,4,26,0.15,2.7,24-25
Arda Güler,Real Madrid,4,28,0.14,4.4,24-25
Íñigo Martínez,Barcelona,4,28,0.14,1.8,24-25
Óscar Rodríguez,Leganes,4,29,0.14,1.7,24-25
Pablo Barrios,Ath Madrid,4,31,0.13,2.0,24-25
A. Catena,Osasuna,3,35,0.09,1.9,24-25
M. De La Fuente,Leganes,3,34,0.09,0.8,24-25
K. Mbappé,Real Madrid,3,34,0.09,6.6,24-25
Pau Cubarsí,Barcelona,3,35,0.09,1.0,24-25
L. Agoumé,Sevilla,3,35,0.09,1.6,24-25
Javi Muñoz,Las Palmas,3,35,0.09,2.3,24-25
M. Oyarzabal,Sociedad,3,35,0.09,1.8,24-25
Andrei Rațiu,Vallecano,3,35,0.09,3.9,24-25
Jesús Areso,Osasuna,3,36,0.08,3.1,24-25
Dani Parejo,Villarreal,3,36,0.08,1.9,24-25
Javi Guerra,Valencia,3,36,0.08,3.2,24-25
Jorge De Frutos,Vallecano,3,36,0.08,2.3,24-25
Jules Koundé,Barcelona,3,32,0.09,3.8,24-25
Borja Iglesias,Celta,3,37,0.08,1.4,24-25
Jofre,Espanol,3,37,0.08,1.9,24-25
Florian Lejeune,Vallecano,3,37,0.08,1.1,24-25
Luis Rioja,Valencia,3,37,0.08,5.7,24-25
Diego Rico,Getafe,3,33,0.09,3.4,24-25
Nahuel Molina,Ath Madrid,3,30,0.1,1.9,24-25
C. Gallagher,Ath Madrid,3,32,0.09,1.1,24-25
Unai Gómez,Ath Bilbao,3,32,0.09,0.9,24-25
Kirian,Las Palmas,3,21,0.14,1.4,24-25
Marc Casadó,Barcelona,3,23,0.13,1.8,24-25
Fábio Silva,Las Palmas,3,24,0.13,1.8,24-25
Javi Galán,Ath Madrid,3,25,0.12,3.1,24-25
Dani Olmo,Barcelona,3,25,0.12,3.7,24-25
J. Campaña,Las Palmas,3,25,0.12,1.0,24-25
Bryan Gil,Girona,3,25,0.12,3.2,24-25
G. Lo Celso,Betis,3,25,0.12,5.2,24-25
Hugo Álvarez,Celta,3,26,0.12,2.1,24-25
Gerard Martín,Barcelona,3,28,0.11,1.7,24-25
Y. Herrera,Girona,3,29,0.1,1.3,24-25
Eric García,Barcelona,3,29,0.1,1.6,24-25
Aitor Ruibal,Betis,3,29,0.1,1.9,24-25
A. Barrenetxea,Sociedad,3,30,0.1,2.5,24-25
Sandro,Las Palmas,3,31,0.1,3.2,24-25
Héctor Bellerín,Betis,2,9,0.22,2.1,24-25
Assane Diao,Betis,2,10,0.2,0.6,24-25
Lamine Yamal,Barcelona,11,27,0.41,10.1,25-26
L. Milla,Getafe,9,30,0.3,5.5,25-26
Fermin,Barcelona,8,25,0.32,4.0,25-26
Arda Güler,Real Madrid,8,31,0.26,7.2,25-26
Olmo,Barcelona,7,26,0.27,4.9,25-26
Pedri,Barcelona,7,23,0.3,4.5,25-26
Valverde,Real Madrid,7,29,0.24,4.6,25-26
Rashford,Barcelona,6,26,0.23,4.1,25-26
Edu Expósito,Espanol,6,29,0.21,6.4,25-26
Giuliano,Ath Madrid,6,27,0.22,4.9,25-26
Santi C.v.,Villarreal,5,29,0.17,1.7,25-26
Álvaro,Vallecano,5,31,0.16,2.8,25-26
F. De Jong,Barcelona,5,20,0.25,3.5,25-26
L. Rioja,Valencia,5,30,0.17,4.1,25-26
M. Neto,Elche,5,23,0.22,2.7,25-26
Rubén García,Osasuna,5,28,0.18,4.4,25-26
Brahim,Real Madrid,5,23,0.22,2.2,25-26
Vini Jr.,Real Madrid,5,30,0.17,4.8,25-26
Vargas,Sevilla,5,17,0.29,1.9,25-26
Mikautadze,Villarreal,5,26,0.19,2.4,25-26
Moncayola,Osasuna,4,29,0.14,3.2,25-26
Trent,Real Madrid,4,15,0.27,0.6,25-26
Mbappé,Real Madrid,4,26,0.15,6.1,25-26
Jan Virgili,Mallorca,4,24,0.17,2.1,25-26
Etta Eyong,Levante,4,27,0.15,1.6,25-26
Thiago,Oviedo,4,10,0.4,2.0,25-26
S. Cardona,Villarreal,3,25,0.12,2.6,25-26
Andrei,Vallecano,3,28,0.11,4.4,25-26
Unai Lopez,Vallecano,3,22,0.14,1.3,25-26
Isi,Vallecano,3,29,0.1,0.3,25-26
Hassan,Oviedo,3,30,0.1,3.0,25-26
Kounde,Barcelona,3,26,0.12,3.3,25-26
Raphinha,Barcelona,3,20,0.15,5.6,25-26
Toljan,Levante,3,30,0.1,3.9,25-26
Turrientes,Sociedad,3,21,0.14,0.5,25-26
Oyarzabal,Sociedad,3,27,0.11,3.2,25-26
Javi Guerra,Valencia,3,29,0.1,2.3,25-26
Ugrinic,Valencia,3,20,0.15,2.5,25-26
Pablo Torre,Mallorca,3,28,0.11,2.4,25-26
Mateo Joseph,Mallorca,3,29,0.1,0.9,25-26
Arnau,Girona,2,28,0.07,7.2,25-26
Gueye,Villarreal,2,25,0.08,2.7,25-26
A. Pedraza,Villarreal,2,23,0.09,2.3,25-26
Mouriño,Villarreal,2,24,0.08,0.4,25-26
Pep Chavarria,Vallecano,2,27,0.07,3.0,25-26
Ilyas,Oviedo,2,29,0.07,1.2,25-26
Eric,Barcelona,2,29,0.07,4.5,25-26
Balde,Barcelona,2,22,0.09,2.0,25-26
P. Martínez,Levante,2,20,0.1,2.5,25-26
Manu Sánchez,Levante,2,27,0.07,1.2,25-26
Sergio Gómez,Sociedad,2,29,0.07,4.6,25-26
Danjuma,Valencia,2,28,0.07,3.4,25-26
Mascarell,Mallorca,2,24,0.08,0.3,25-26
Brais Méndez,Sociedad,2,27,0.07,2.6,25-26
Blanco,Alaves,2,29,0.07,1.5,25-26
El Hilali,Espanol,2,29,0.07,1.9,25-26
C. Romero,Espanol,2,29,0.07,2.9,25-26
Roberto,Espanol,2,31,0.06,1.5,25-26
Arambarri,Getafe,2,30,0.07,0.7,25-26
Iglesias,Getafe,2,30,0.07,1.5,25-26
Williams Jr,Ath Bilbao,2,21,0.1,4.8,25-26
Koke,Ath Madrid,2,28,0.07,3.7,25-26
Álex B.,Ath Madrid,2,22,0.09,4.3,25-26
Hancko,Ath Madrid,2,26,0.08,2.0,25-26
Agoumé,Sevilla,2,27,0.07,1.4,25-26
P. Durán,Celta,2,24,0.08,1.5,25-26
Hugo Sotelo,Celta,2,17,0.12,2.2,25-26
B. Iglesias,Celta,2,28,0.07,1.5,25-26
Jutgla,Celta,2,23,0.09,1.2,25-26
Moriba,Celta,2,30,0.07,1.7,25-26
R.p. Bigas,Elche,2,22,0.09,1.1,25-26
Febas,Elche,2,30,0.07,2.7,25-26
Lo Celso,Betis,2,18,0.11,2.1,25-26
Aitor Ruibal,Betis,2,25,0.08,1.6,25-26
Víctor M.v.,Osasuna,2,31,0.06,2.7,25-26
Catena,Osasuna,2,29,0.07,3.4,25-26
Aimar,Osasuna,2,24,0.08,2.9,25-26
Kike Barja,Osasuna,2,21,0.1,2.2,25-26
Huijsen,Real Madrid,2,23,0.09,1.2,25-26
Á. Carreras,Real Madrid,2,25,0.08,1.4,25-26
Lemar,Girona,1,21,0.05,1.4,25-26
Yeremy,Villarreal,1,2,0.5,1.0,25-26
Buchanan,Villarreal,1,29,0.03,1.9,25-26
Fran Pérez,Vallecano,1,25,0.04,1.2,25-26
De Frutos,Vallecano,1,29,0.03,2.4,25-26
Lejeune,Vallecano,1,31,0.03,0.4,25-26
