Player,Team,Assists,Matches Played,Coefficient,xA,Season
Filipe Luís,Ath Madrid,6,34,0.18,,16-17
Cristiano Ronaldo,Real Madrid,6,29,0.21,,16-17
Iñaki Williams,Ath Bilbao,6,38,0.16,,16-17
Beñat,Ath Bilbao,5,32,0.16,,16-17
Pedro León,Eibar,5,37,0.14,,16-17
Juanfran,La Coruna,5,34,0.15,,16-17
Emre Colak,La Coruna,5,33,0.15,,16-17
Burgui,Sp Gijon,5,32,0.16,,16-17
Ivan Rakitić,Barcelona,5,32,0.16,,16-17
R. Soriano,Villarreal,5,33,0.15,,16-17
Kévin Gameiro,Ath Madrid,5,31,0.16,,16-17
Moi Gómez,Sp Gijon,5,26,0.19,,16-17
Antonio Luna,Eibar,5,26,0.19,,16-17
James,Real Madrid,5,22,0.23,,16-17
Léo Baptistão,Espanol,5,21,0.24,,16-17
K. Benzema,Real Madrid,5,29,0.17,,16-17
Roberto Torres,Osasuna,4,32,0.13,,16-17
Sergio Canales,Sociedad,4,31,0.13,,16-17
Willian José,Sociedad,4,28,0.14,,16-17
Fernando Torres,Ath Madrid,4,31,0.13,,16-17
José Manuel Jurado,Espanol,4,31,0.13,,16-17
Tana,Las Palmas,4,32,0.13,,16-17
João Cancelo,Valencia,4,35,0.11,,16-17
Iago Aspas,Celta,4,32,0.13,,16-17
Samu Castillejo,Villarreal,4,33,0.12,,16-17
Y. Carrasco,Ath Madrid,4,35,0.11,,16-17
Raúl García,Ath Bilbao,4,36,0.11,,16-17
Gerard Moreno,Espanol,4,37,0.11,,16-17
Vitolo,Sevilla,4,30,0.13,,16-17
Juankar,Malaga,4,28,0.14,,16-17
K-P. Boateng,Las Palmas,4,28,0.14,,16-17
Dani Carvajal,Real Madrid,4,23,0.17,,16-17
Joaquín,Betis,4,28,0.14,,16-17
Á. Odriozola,Sociedad,4,15,0.27,,16-17
Jaime Romero,Osasuna,4,19,0.21,,16-17
Carles Gil,La Coruna,4,23,0.17,,16-17
Stevan Jovetić,Sevilla,4,21,0.19,,16-17
