Player,Team,Goals,Matches Played,Coefficient,Season,xG
Josan,Elche,4,33,0.12,20-21,1.2
Luuk De Jong,Sevilla,4,34,0.12,20-21,4.8
Luis Rioja,Alaves,4,35,0.11,20-21,3.3
Jorge De Frutos,Levante,4,37,0.11,20-21,3.4
Asier Villalibre,Ath Bilbao,4,35,0.11,20-21,4.3
D. Wass,Valencia,4,35,0.11,20-21,2.9
Bryan Gil,Eibar,4,29,0.14,20-21,3.6
Ivan Rakitić,Sevilla,4,37,0.11,20-21,5.2
Gabriel Paulista,Valencia,4,31,0.13,20-21,1.0
Moi Gómez,Villarreal,4,35,0.11,20-21,3.9
Enes Ünal,Getafe,4,28,0.14,20-21,4.8
Álex Fernández,Cadiz,4,25,0.16,20-21,3.3
Lucas Pérez,Alaves,4,28,0.14,20-21,6.7
Marcos André,Valladolid,4,23,0.17,20-21,4.9
Munir,Sevilla,4,24,0.17,20-21,4.1
Ansu Fati,Barcelona,4,7,0.57,20-21,1.8
Adnan Januzaj,Sociedad,4,27,0.15,20-21,5.0
Kévin Gameiro,Valencia,4,27,0.15,20-21,3.8
S. Chukwueze,Villarreal,4,28,0.14,20-21,2.5
Kenedy,Granada,4,28,0.14,20-21,2.0
Unai López,Ath Bilbao,3,26,0.12,20-21,1.1
Fernando,Sevilla,3,31,0.1,20-21,1.5
A. Barrenetxea,Sociedad,3,31,0.1,20-21,1.9
Choco Lozano,Cadiz,3,29,0.1,20-21,5.7
Juan Cala,Cadiz,3,28,0.11,20-21,2.2
Toni Kroos,Real Madrid,3,28,0.11,20-21,2.3
Trincão,Barcelona,3,28,0.11,20-21,2.6
Aïssa Mandi,Betis,3,28,0.11,20-21,2.2
Sergi Enrich,Eibar,3,27,0.11,20-21,7.9
Fer Niño,Villarreal,3,17,0.18,20-21,4.6
Yéremy Pino,Villarreal,3,24,0.13,20-21,1.0
F. Valverde,Real Madrid,3,24,0.13,20-21,2.3
G. Carrillo,Elche,3,21,0.14,20-21,2.5
Papu Gómez,Sevilla,3,18,0.17,20-21,0.7
Roberto López,Sociedad,3,17,0.18,20-21,0.5
A. Sanabria,Betis,3,16,0.19,20-21,5.0
E. Burgos,Eibar,3,14,0.21,20-21,3.3
E. Hazard,Real Madrid,3,14,0.21,20-21,1.2
Willian José,Sociedad,3,13,0.23,20-21,3.1
Hugo Mallo,Celta,3,31,0.1,20-21,2.6
K. Benzema,Real Madrid,27,32,0.84,21-22,24.1
Iago Aspas,Celta,17,37,0.46,21-22,14.2
Raúl De Tomás,Espanol,17,34,0.5,21-22,15.0
Vinícius,Real Madrid,17,35,0.49,21-22,12.4
Enes Ünal,Getafe,16,37,0.43,21-22,10.8
Juanmi,Betis,16,33,0.48,21-22,11.8
Joselu,Alaves,14,37,0.38,21-22,13.1
Morales,Levante,13,35,0.37,21-22,14.4
Memphis,Barcelona,12,28,0.43,21-22,11.2
Ángel Correa,Ath Madrid,12,36,0.33,21-22,7.3
L. Suárez,Ath Madrid,11,35,0.31,21-22,10.1
G. Guedes,Valencia,11,36,0.31,21-22,6.1
Carlos Soler,Valencia,11,32,0.34,21-22,9.0
P. Aubameyang,Barcelona,11,17,0.65,21-22,7.8
A. Danjuma,Villarreal,10,23,0.43,21-22,11.9
M. Asensio,Real Madrid,10,31,0.32,21-22,7.8
Borja Iglesias,Betis,10,33,0.3,21-22,7.6
Rafa Mir,Sevilla,10,34,0.29,21-22,7.7
Jorge Molina,Granada,10,35,0.29,21-22,6.4
M. Oyarzabal,Sociedad,9,22,0.41,21-22,9.2
Willian José,Betis,9,32,0.28,21-22,6.2
Gerard Moreno,Villarreal,9,17,0.53,21-22,7.4
A. Budimir,Osasuna,8,28,0.29,21-22,8.4
Sergi Guardiola,Vallecano,8,32,0.25,21-22,7.2
Pere Milla,Elche,8,32,0.25,21-22,4.9
Luis Suárez,Granada,8,37,0.22,21-22,11.0
I. Williams,Ath Bilbao,8,38,0.21,21-22,14.4
João Félix,Ath Madrid,8,24,0.33,21-22,5.4
Hugo Duro,Valencia,7,31,0.23,21-22,3.9
Santi Mina,Celta,7,33,0.21,21-22,8.5
Álvaro García,Vallecano,7,36,0.19,21-22,5.2
Á. Negredo,Cadiz,7,34,0.21,21-22,7.3
G. Melero,Levante,7,29,0.24,21-22,4.2
Roger Martí,Levante,7,29,0.24,21-22,8.5
Lucas Boyé,Elche,7,24,0.29,21-22,4.3
Y. Carrasco,Ath Madrid,6,34,0.18,21-22,5.4
Antonio Puertas,Granada,6,33,0.18,21-22,3.5
Nabil Fekir,Betis,6,34,0.18,21-22,4.9
Choco Lozano,Cadiz,6,31,0.19,21-22,5.1
Manu Trigueros,Villarreal,6,35,0.17,21-22,5.8
Raúl García,Ath Bilbao,6,35,0.17,21-22,6.7
Alexander Isak,Sociedad,6,32,0.19,21-22,10.2
Chimy Ávila,Osasuna,6,36,0.17,21-22,4.4
Yéremy Pino,Villarreal,6,31,0.19,21-22,5.5
Matheus Cunha,Ath Madrid,6,29,0.21,21-22,5.4
Oihan Sancet,Ath Bilbao,6,27,0.22,21-22,3.3
R. Falcao,Vallecano,6,22,0.27,21-22,5.1
Luuk De Jong,Barcelona,6,21,0.29,21-22,4.6
B. Mayoral,Getafe,6,18,0.33,21-22,2.6
Lucas Ocampos,Sevilla,6,30,0.2,21-22,5.8
Papu Gómez,Sevilla,5,29,0.17,21-22,2.1
Sergio Canales,Betis,5,34,0.15,21-22,4.2
Pau Torres,Villarreal,5,33,0.15,21-22,3.0
Lucas Pérez,Cadiz,5,33,0.15,21-22,5.4
Fidel,Elche,5,33,0.15,21-22,3.1
Álex Moreno,Betis,5,30,0.17,21-22,4.1
Maxi Gómez,Valencia,5,29,0.17,21-22,4.8
Salva  Mallorca,Sevilla,5,28,0.18,21-22,4.9
Boulaye Dia,Villarreal,5,25,0.2,21-22,5.3
Y. En-Nesyri,Sevilla,5,23,0.22,21-22,6.3
Erik Lamela,Sevilla,5,20,0.25,21-22,3.0
G. Escalante,Alaves,5,17,0.29,21-22,2.9
Vedat Muriqi,Mallorca,5,16,0.31,21-22,5.5
Javi Puado,Espanol,4,30,0.13,21-22,4.9
Denis Suárez,Celta,4,38,0.11,21-22,2.2
Brais Méndez,Celta,4,37,0.11,21-22,4.6
Iker Muniain,Ath Bilbao,4,35,0.11,21-22,6.2
Ivan Rakitić,Sevilla,4,35,0.11,21-22,3.2
Rubén Sobrino,Cadiz,4,34,0.12,21-22,5.5
A. Sørloth,Sociedad,4,33,0.12,21-22,6.6
Rodrygo,Real Madrid,4,33,0.12,21-22,3.5
Ronald Araujo,Barcelona,4,30,0.13,21-22,1.5
Ángel,Mallorca,4,29,0.14,21-22,4.1
A. Elustondo,Sociedad,4,30,0.13,21-22,1.7
A. Pedraza,Villarreal,4,28,0.14,21-22,1.9
Jorge De Frutos,Levante,4,25,0.16,21-22,4.9
D. Machís,Granada,4,25,0.16,21-22,1.8
Thomas Lemar,Ath Madrid,4,24,0.17,21-22,3.5
Ferran Torres,Barcelona,4,18,0.22,21-22,7.0
Ansu Fati,Barcelona,4,10,0.4,21-22,1.3
Dani Gómez,Levante,4,28,0.14,21-22,4.7
A. Griezmann,Ath Madrid,3,29,0.1,21-22,5.4
Franco Cervi,Celta,3,33,0.09,21-22,3.1
F. De Jong,Barcelona,3,32,0.09,21-22,5.0
Álex Fernández,Cadiz,3,32,0.09,21-22,3.0
Tete Morente,Elche,3,32,0.09,21-22,3.0
Óscar Trejo,Vallecano,3,32,0.09,21-22,3.3
E. Bardhi,Levante,3,30,0.1,21-22,3.9
Lucas Vázquez,Real Madrid,3,29,0.1,21-22,2.0
Íñigo Martínez,Ath Bilbao,3,27,0.11,21-22,2.0
Sandro,Getafe,3,29,0.1,21-22,3.1
Nacho,Real Madrid,3,28,0.11,21-22,1.4
S. Chukwueze,Villarreal,3,27,0.11,21-22,4.6
Alberto Moreno,Villarreal,3,24,0.13,21-22,3.0
Abdón Prats,Mallorca,3,23,0.13,21-22,1.5
R. Soldado,Levante,3,18,0.17,21-22,3.7
Pedri,Barcelona,3,12,0.25,21-22,1.3
Adnan Januzaj,Sociedad,3,33,0.09,21-22,4.1
R. Lewandowski,Barcelona,22,34,0.65,22-23,24.3
K. Benzema,Real Madrid,19,24,0.79,22-23,21.5
Joselu,Espanol,16,34,0.47,22-23,14.6
Borja,Iglesias Real Betis,15,35,0.43,22-23,0.7
Vedat,Muriqi Mallorca,15,35,0.43,22-23,12.5
A. Griezmann,Ath Madrid,15,38,0.39,22-23,12.3
Enes,Ünal Getafe,14,35,0.4,22-23,0.6
Taty,Castellanos Girona FC,13,35,0.37,22-23,
Á. Morata,Ath Madrid,13,36,0.36,22-23,12.2
Iago,Aspas Celta,12,37,0.32,22-23,11.2
N. Jackson,Villarreal,12,26,0.46,22-23,8.0
A. Sørloth,Sociedad,12,34,0.35,22-23,13.5
Gabri,Veiga Celta,11,36,0.31,22-23,3.2
M. Braithwaite,Espanol,10,31,0.32,22-23,9.4
Vinícius,Real Madrid,10,33,0.3,22-23,10.5
Oihan,Sancet Athletic,10,36,0.28,22-23,0.4
I. Williams,Ath Bilbao,10,36,0.28,22-23,4.9
Ángel,Correa Atlético de Madrid,9,35,0.26,22-23,1.7
Take,Kubo Real Sociedad,9,35,0.26,22-23,0.8
Isi,Palazón Rayo Vallecano,9,37,0.24,22-23,0.5
Rodrygo,Real Madrid,9,34,0.26,22-23,13.4
M. Asensio,Real Madrid,9,31,0.29,22-23,5.5
C. Stuani,Girona,9,32,0.28,22-23,9.9
Cyle,Larin Real Valladolid,8,19,0.42,22-23,7.5
Chimy,Ávila Osasuna,8,29,0.28,22-23,0.4
Y. En-Nesyri,Sevilla,8,31,0.26,22-23,8.5
A. Budimir,Osasuna,8,31,0.26,22-23,7.7
Brais,Méndez Real Sociedad,8,34,0.24,22-23,5.6
B. Mayoral,Getafe,8,35,0.23,22-23,7.9
Y. Carrasco,Ath Madrid,7,35,0.2,22-23,8.0
Javi,Puado Espanyol,7,37,0.19,22-23,3.2
Ansu,Fati FC Barcelona,7,36,0.19,22-23,0.3
Raphinha,Barcelona,7,36,0.19,22-23,9.3
F. Valverde,Real Madrid,7,34,0.21,22-23,4.3
Lucas,Boyé Elche,7,35,0.2,22-23,0.4
Morales,Villarreal,7,29,0.24,22-23,0.3
Gerard,Moreno Villarreal,7,21,0.33,22-23,1.2
E. Touré,Almeria,7,21,0.33,22-23,6.3
Sergi,Darder Espanyol,6,38,0.16,22-23,3.9
S. Lino,Valencia,6,38,0.16,22-23,2.9
Álex,Baena Villarreal,6,35,0.17,22-23,0.1
S. Chukwueze,Villarreal,6,37,0.16,22-23,6.5
Nico,Williams Athletic,6,36,0.17,22-23,0.5
Kang-In,Lee Mallorca,6,36,0.17,22-23,5.4
Sergio,Camello Rayo Vallecano,6,38,0.16,22-23,3.9
Erik,Lamela Sevilla,6,32,0.19,22-23,4.9
G. Guruzeta,Ath Bilbao,6,30,0.2,22-23,6.3
Sergio,León Real Valladolid,6,29,0.21,22-23,3.9
Pedri,Barcelona,6,26,0.23,22-23,4.9
Justin,Kluivert Valencia,6,26,0.23,22-23,0.7
Lázaro,Almeria,6,19,0.32,22-23,4.0
Pere,Milla Elche,6,31,0.19,22-23,4.9
Éder,Militão Real Madrid,5,33,0.15,22-23,4.9
Álvaro,García Rayo Vallecano,5,35,0.14,22-23,4.0
O. Dembélé,Barcelona,5,25,0.2,22-23,3.9
Edinson,Cavani Valencia,5,25,0.2,22-23,6.0
Memphis,Ath Madrid,5,10,0.5,22-23,3.8
Luka,Modrić Real Madrid,4,33,0.12,22-23,4.2
Florian,Lejeune Rayo Vallecano,4,31,0.13,22-23,2.8
Tete,Morente Elche,4,32,0.13,22-23,4.2
J. Larsen,Celta,4,32,0.13,22-23,5.6
Ferran,Torres FC Barcelona,4,33,0.12,22-23,0.2
Álex,Berenguer Athletic,4,37,0.11,22-23,0.1
Nahuel,Molina Atlético de Madrid,4,33,0.12,22-23,2.6
E. Ponce,Elche,4,34,0.12,22-23,3.6
R. Riquelme,Girona,4,34,0.12,22-23,4.0
Yéremy,Pino Villarreal,4,36,0.11,22-23,8.0
Adrián,Embarba Almería,4,30,0.13,22-23,3.9
T. Bongonda,Cadiz,4,31,0.13,22-23,5.2
Sergio,Canales Real Betis,4,31,0.13,22-23,3.9
Ez,Abde Osasuna,4,28,0.14,22-23,0.1
Juanmi,Betis,4,22,0.18,22-23,4.3
Léo,Baptistão Almería,4,28,0.14,22-23,0.1
G. Escalante,Cadiz,4,14,0.29,22-23,3.5
Lucas,Ocampos Sevilla,4,19,0.21,22-23,0.4
Luis,Suárez Almería,4,21,0.19,22-23,0.1
Raúl,De Tomás Rayo Vallecano,4,19,0.21,22-23,2.4
Sergi,Roberto FC Barcelona,4,23,0.17,22-23,3.9
M. Oyarzabal,Sociedad,4,23,0.17,22-23,4.6
Lucas,Vázquez Real Madrid,4,23,0.17,22-23,0.4
Samu,Castillejo Valencia,4,25,0.16,22-23,1.7
G. Melero,Almeria,4,27,0.15,22-23,3.0
C. Montes,Espanol,3,20,0.15,22-23,0.9
Álex,Fernández Cádiz,3,28,0.11,22-23,0.1
Fidel,Elche,3,27,0.11,22-23,2.3
M. Hermoso,Ath Madrid,3,26,0.12,22-23,2.2
Iván,Martín Girona FC,3,24,0.13,22-23,1.2
A. Barrenetxea,Sociedad,3,23,0.13,22-23,3.0
J. Miranda,Betis,3,21,0.14,22-23,2.4
David,López Girona FC,3,20,0.15,22-23,3.2
João,Félix Atlético de Madrid,3,14,0.21,22-23,0.4
V. Tsygankov,Girona,3,19,0.16,22-23,2.8
Ayoze,Betis,3,19,0.16,22-23,4.6
Carmona,Elche,3,19,0.16,22-23,0.9
H. Seferović,Celta,3,18,0.17,22-23,1.8
Lucas,Pérez Cádiz,3,14,0.21,22-23,0.4
Diego,López Valencia,3,10,0.3,22-23,0.2
Umar,Sadiq Real Sociedad,3,5,0.6,22-23,0.3
Munir,Getafe,3,28,0.11,22-23,4.3
Artem Dovbyk,Girona,24,36,0.67,23-24,24.3
A. Sørloth,Villarreal,23,34,0.68,23-24,12.7
J. Bellingham,Real Madrid,19,28,0.68,23-24,11.1
R. Lewandowski,Barcelona,19,35,0.54,23-24,18.1
A. Budimir,Osasuna,16,33,0.48,23-24,14.2
A. Griezmann,Ath Madrid,16,33,0.48,23-24,12.4
Y. En-Nesyri,Sevilla,16,33,0.48,23-24,10.8
Vinícius,Real Madrid,15,26,0.58,23-24,13.1
B. Mayoral,Getafe,15,27,0.56,23-24,11.9
Á. Morata,Ath Madrid,15,32,0.47,23-24,0.1
G. Guruzeta,Ath Bilbao,14,32,0.44,23-24,11.7
J. Larsen,Celta,13,37,0.35,23-24,0.7
Hugo Duro,Valencia,13,37,0.35,23-24,11.5
I. Williams,Ath Bilbao,12,34,0.35,23-24,6.0
Myrto Uzuni,Granada,11,34,0.32,23-24,13.0
Gerard Moreno,Villarreal,10,30,0.33,23-24,9.7
Willian José,Betis,10,33,0.3,23-24,5.7
Joselu,Real Madrid,10,34,0.29,23-24,12.0
Rodrygo,Real Madrid,10,34,0.29,23-24,11.8
Savinho,Girona,9,37,0.24,23-24,6.1
Sergio Arribas,Almeria,9,34,0.26,23-24,8.6
Iago Aspas,Celta,9,35,0.26,23-24,11.5
Samu Aghehowa,Alaves,9,35,0.26,23-24,11.5
Ayoze,Betis,9,31,0.29,23-24,7.4
M. Oyarzabal,Sociedad,9,33,0.27,23-24,9.2
Ángel Correa,Ath Madrid,9,32,0.28,23-24,8.0
C. Stuani,Girona,9,31,0.29,23-24,9.7
Isco,Betis,8,29,0.28,23-24,8.3
V. Tsygankov,Girona,8,30,0.27,23-24,6.3
Fermín López,Barcelona,8,31,0.26,23-24,7.5
Brahim Díaz,Real Madrid,8,31,0.26,23-24,5.8
Morales,Villarreal,7,29,0.24,23-24,1.0
Ferran Torres,Barcelona,7,29,0.24,23-24,5.5
Vedat Muriqi,Mallorca,7,29,0.24,23-24,10.5
Take Kubo,Sociedad,7,30,0.23,23-24,3.5
João Félix,Barcelona,7,30,0.23,23-24,8.8
Tasos Douvikas,Celta,7,32,0.22,23-24,4.6
M. Greenwood,Getafe,7,33,0.21,23-24,8.8
Álex Berenguer,Ath Bilbao,7,35,0.2,23-24,5.2
Portu,Girona,7,36,0.19,23-24,3.5
K. Mbappé,Real Madrid,31,34,0.91,24-25,25.9
R. Lewandowski,Barcelona,27,34,0.79,24-25,27.1
A. Budimir,Osasuna,21,38,0.55,24-25,18.6
A. Sørloth,Ath Madrid,20,35,0.57,24-25,17.0
Ayoze,Villarreal,19,30,0.63,24-25,12.8
Raphinha,Barcelona,18,36,0.5,24-25,19.4
Julián Alvarez,Ath Madrid,17,37,0.46,24-25,14.2
Oihan Sancet,Ath Bilbao,15,29,0.52,24-25,9.7
Kike García,Alaves,13,35,0.37,24-25,9.8
Javi Puado,Espanol,12,35,0.34,24-25,11.5
Thierno Barry,Villarreal,11,35,0.31,24-25,12.4
D. Lukébakio,Sevilla,11,38,0.29,24-25,10.0
Borja Iglesias,Celta,11,37,0.3,24-25,9.4
C. Stuani,Girona,11,32,0.34,24-25,8.3
Hugo Duro,Valencia,11,31,0.35,24-25,9.4
Vinícius,Real Madrid,11,30,0.37,24-25,10.7
Fábio Silva,Las Palmas,10,24,0.42,24-25,8.8
Dani Olmo,Barcelona,10,25,0.4,24-25,6.5
Ferran Torres,Barcelona,10,27,0.37,24-25,8.0
Iago Aspas,Celta,10,30,0.33,24-25,8.7
Jorge De Frutos,Vallecano,6,36,0.17,24-25,6.4
F. Valverde,Real Madrid,6,36,0.17,24-25,2.7
Nico Williams,Ath Bilbao,5,29,0.17,24-25,4.2
Luis Rioja,Valencia,5,37,0.14,24-25,3.2
Aimar Oroz,Osasuna,5,37,0.14,24-25,4.2
Carlos Vicente,Alaves,5,37,0.14,24-25,3.5
Rubén García,Osasuna,5,36,0.14,24-25,3.1
Take Kubo,Sociedad,5,36,0.14,24-25,3.6
Juan Cruz,Leganes,5,34,0.15,24-25,0.1
Umar Sadiq,Valencia,5,23,0.22,24-25,3.6
Mamadou Sylla,Valladolid,5,29,0.17,24-25,5.1
Antony,Betis,5,17,0.29,24-25,2.9
Alfon González,Celta,5,26,0.19,24-25,4.6
Cucho,Betis,5,15,0.33,24-25,
B. Mayoral,Getafe,5,24,0.21,24-25,3.5
Joan Jordán,Alaves,5,25,0.2,24-25,4.8
W. Swedberg,Celta,4,32,0.13,24-25,5.3
Pedri,Barcelona,4,37,0.11,24-25,2.2
Dani Rodríguez,Mallorca,4,37,0.11,24-25,0.0
Álvaro García,Vallecano,4,36,0.11,24-25,7.7
Isi Palazón,Vallecano,4,35,0.11,24-25,4.6
Ó. Mingueza,Celta,4,34,0.12,24-25,1.5
Pape Gueye,Villarreal,4,34,0.12,24-25,3.3
Yéremy Pino,Villarreal,4,34,0.12,24-25,4.0
Pathé Ciss,Vallecano,4,33,0.12,24-25,1.9
Raúl Moro,Valladolid,4,33,0.12,24-25,4.2
L. Cabrera,Espanol,4,33,0.12,24-25,1.2
C. Uche,Getafe,4,33,0.12,24-25,3.7
Dani Vivian,Ath Bilbao,4,32,0.13,24-25,2.0
Ramón Terrats,Getafe,4,26,0.15,24-25,2.1
Raúl García,Osasuna,4,32,0.13,24-25,3.5
Toni Martínez,Alaves,4,28,0.14,24-25,3.9
Juanlu Sánchez,Sevilla,4,32,0.13,24-25,2.8
Vitor Roque,Betis,4,22,0.18,24-25,6.1
Abel Ruiz,Girona,4,23,0.17,24-25,4.8
Hugo Álvarez,Celta,4,26,0.15,24-25,2.6
Pablo Durán,Celta,4,27,0.15,24-25,3.7
Munir,Leganes,4,25,0.16,24-25,3.6
A. Danjuma,Girona,4,28,0.14,24-25,4.4
Y. Herrera,Girona,4,29,0.14,24-25,3.6
Ángel Correa,Ath Madrid,4,31,0.13,24-25,4.5
Isaac Romero,Sevilla,4,31,0.13,24-25,6.7
Brahim Díaz,Real Madrid,4,31,0.13,24-25,5.5
Randy Nteka,Vallecano,3,24,0.13,24-25,2.9
Yáser Asprilla,Girona,3,27,0.11,24-25,2.1
Carles Pérez,Getafe,3,27,0.11,24-25,2.4
Brais Méndez,Sociedad,3,27,0.11,24-25,3.6
Pedro Díaz,Vallecano,3,26,0.12,24-25,2.4
Bryan Gil,Girona,3,25,0.12,24-25,2.3
S. Amallah,Valladolid,3,24,0.13,24-25,3.3
Gerard Moreno,Villarreal,3,17,0.18,24-25,4.1
Aitor Paredes,Ath Bilbao,3,23,0.13,24-25,2.3
O. Óskarsson,Sociedad,3,23,0.13,24-25,5.1
Sergio Camello,Vallecano,3,23,0.13,24-25,4.4
Álex Muñoz,Las Palmas,3,21,0.14,24-25,0.8
Tasos Douvikas,Celta,3,20,0.15,24-25,4.4
Pere Milla,Espanol,3,20,0.15,24-25,1.5
Pablo Torre,Barcelona,3,10,0.3,24-25,0.4
Diego García,Leganes,3,28,0.11,24-25,4.0
Mbappé,Real Madrid,23,26,0.88,25-26,23.0
Muriqi,Mallorca,19,29,0.66,25-26,15.7
Budimir,Osasuna,15,29,0.52,25-26,14.7
Lamine Yamal,Barcelona,14,26,0.54,25-26,12.8
Ferran,Barcelona,12,27,0.44,25-26,12.4
Oyarzabal,Sociedad,12,27,0.44,25-26,14.3
Lewandowski,Barcelona,12,25,0.48,25-26,13.0
Raphinha,Barcelona,11,20,0.55,25-26,9.8
Borja,Celta,11,27,0.41,25-26,2.9
Vini Jr.,Real Madrid,11,30,0.37,25-26,12.5
De Frutos,Vallecano,10,28,0.36,25-26,9.6
Sørloth,Ath Madrid,10,29,0.34,25-26,8.9
Lucas Boyé,Alaves,10,24,0.42,25-26,9.1
A. Moleiro,Villarreal,9,29,0.31,25-26,5.4
Hugo Duro,Valencia,9,29,0.31,25-26,7.4
Mikautadze,Villarreal,9,25,0.36,25-26,8.9
Vanat,Girona,9,27,0.33,25-26,0.8
Gerard,Villarreal,8,16,0.5,25-26,6.0
Guedes,Sociedad,8,30,0.27,25-26,3.9
T. Martínez,Alaves,8,29,0.28,25-26,8.9
Guedes,Sociedad,8,31,0.26,25-26,3.9
T. Martínez,Alaves,8,30,0.27,25-26,8.9
J.alvarez,Ath Madrid,8,29,0.28,25-26,7.7
Akor,Sevilla,8,26,0.31,25-26,9.7
Rafa Mir,Elche,8,26,0.31,25-26,8.1
C. Hernández,Betis,8,26,0.31,25-26,8.9
Olmo,Barcelona,7,26,0.27,25-26,7.2
Guruzeta,Ath Bilbao,7,28,0.25,25-26,9.5
Jutgla,Celta,7,23,0.3,25-26,5.5
André Da Silva,Elche,7,24,0.29,25-26,9.3
P. Fornals,Betis,7,31,0.23,25-26,3.6
Antony,Betis,7,26,0.27,25-26,6.9
Buchanan,Villarreal,6,29,0.21,25-26,2.0
Rashford,Barcelona,6,26,0.23,25-26,6.9
Brais Méndez,Sociedad,6,27,0.22,25-26,5.8
Roberto,Espanol,6,31,0.19,25-26,3.6
Pere Milla,Espanol,6,27,0.22,25-26,6.6
Kike G.,Espanol,6,30,0.2,25-26,7.8
Arambarri,Getafe,6,30,0.2,25-26,6.1
Griezmann,Ath Madrid,6,27,0.22,25-26,7.0
Tsygankov,Girona,5,25,0.2,25-26,5.5
Pepe,Villarreal,5,29,0.17,25-26,3.5
Rashford,Barcelona,5,25,0.2,25-26,6.9
Fermin,Barcelona,5,24,0.21,25-26,6.4
I. Romero,Levante,5,26,0.19,25-26,8.3
Carlos V.,Alaves,5,21,0.24,25-26,4.1
C. Romero,Espanol,5,28,0.18,25-26,5.1
Navarro,Ath Bilbao,5,24,0.21,25-26,0.0
Sow,Sevilla,5,26,0.19,25-26,1.0
Álvaro,Elche,5,26,0.19,25-26,0.3
Víctor M.v.,Osasuna,5,30,0.17,25-26,5.7
Raúl,Osasuna,5,28,0.18,25-26,0.2
Valverde,Real Madrid,5,29,0.17,25-26,2.8
Ramazani,Valencia,5,19,0.26,25-26,6.4
Samu,Mallorca,5,27,0.19,25-26,3.1
Ez Abde,Betis,5,21,0.24,25-26,2.0
Gueye,Villarreal,4,24,0.17,25-26,3.8
Álvaro,Vallecano,4,30,0.13,25-26,0.3
Ilyas,Oviedo,4,28,0.14,25-26,6.2
Oskarsson,Sociedad,4,13,0.31,25-26,3.5
Williams Jr,Ath Bilbao,4,20,0.2,25-26,4.8
Giuliano,Ath Madrid,4,27,0.15,25-26,4.8
Isaac,Sevilla,4,22,0.18,25-26,0.1
Iago,Celta,4,24,0.17,25-26,4.3
Williot,Celta,4,22,0.18,25-26,3.5
Germán V.,Elche,4,29,0.14,25-26,2.5
Aitor Ruibal,Betis,4,24,0.17,25-26,3.8
Arda Güler,Real Madrid,4,31,0.13,25-26,4.6
Gonzalo,Real Madrid,4,24,0.17,25-26,0.2
B. Mayoral,Getafe,4,14,0.29,25-26,2.9
C.soler,Sociedad,4,25,0.16,25-26,2.5
Ounahi,Girona,4,17,0.24,25-26,2.8
Bellingham,Real Madrid,4,21,0.19,25-26,6.5
Satriano,Getafe,4,11,0.36,25-26,2.6
Lemar,Girona,3,21,0.14,25-26,3.2
Santi C.v.,Villarreal,3,28,0.11,25-26,0.4
Isi,Vallecano,3,29,0.1,25-26,0.1
A. Reina,Oviedo,3,29,0.1,25-26,2.9
R. Araujo,Barcelona,3,19,0.16,25-26,1.4
C. Alvarez,Levante,3,26,0.12,25-26,2.7
Diego López,Valencia,3,26,0.12,25-26,2.3
Danjuma,Valencia,3,27,0.11,25-26,4.7
Pablo Torre,Mallorca,3,27,0.11,25-26,1.2
Cabrera,Espanol,3,29,0.1,25-26,2.4
Liso,Getafe,3,24,0.13,25-26,0.1
Almada,Ath Madrid,3,21,0.14,25-26,3.2
Hugo A.,Celta,3,21,0.14,25-26,2.0
Bakambu,Betis,3,15,0.2,25-26,3.4
Iker,Levante,3,18,0.17,25-26,0.3
Stuani,Girona,3,13,0.23,25-26,0.1
Vargas,Sevilla,3,16,0.19,25-26,0.0
O. Sancet,Ath Bilbao,3,23,0.13,25-26,6.2
Alexis,Sevilla,3,21,0.14,25-26,0.3
Nico,Ath Madrid,3,22,0.14,25-26,0.1
Vazquez,Getafe,3,10,0.3,25-26,1.2
Joel Roca,Girona,2,25,0.08,25-26,2.9
Lemar,Girona,2,20,0.1,25-26,3.2
Fran Pérez,Vallecano,2,25,0.08,25-26,1.7
Pacha,Vallecano,2,23,0.09,25-26,1.6
Pathé I. Ciss,Vallecano,2,21,0.1,25-26,3.2
Pedri,Barcelona,2,21,0.1,25-26,1.6
Dela,Levante,2,25,0.08,25-26,1.8
Take,Sociedad,2,18,0.11,25-26,0.4
Sucic,Sociedad,2,14,0.14,25-26,1.5
Cömert,Valencia,2,12,0.17,25-26,1.1
Pepelu,Valencia,2,23,0.09,25-26,3.5
L. Rioja,Valencia,2,28,0.07,25-26,1.9
Mateo Joseph,Mallorca,2,28,0.07,25-26,5.1
Puado,Espanol,2,10,0.2,25-26,3.5
Mario Martín,Getafe,2,27,0.07,25-26,2.0
Berenguer,Ath Bilbao,2,24,0.08,25-26,4.1
Williams,Ath Bilbao,2,21,0.1,25-26,4.8
Jaureguizar,Ath Bilbao,2,28,0.07,25-26,1.5
Koke,Ath Madrid,2,27,0.07,25-26,0.4
Álex B.,Ath Madrid,2,20,0.1,25-26,1.8
Molina,Ath Madrid,2,21,0.1,25-26,0.4
Gallagher,Ath Madrid,2,19,0.11,25-26,1.1
Peque,Sevilla,2,21,0.1,25-26,3.5
P. Durán,Celta,2,22,0.09,25-26,3.9
Javi Rueda,Celta,2,20,0.1,25-26,1.3
Pablo,Celta,2,23,0.09,25-26,1.2
Javier,Celta,2,20,0.1,25-26,0.3
Jones,Celta,2,20,0.1,25-26,0.3
Sergio,Celta,2,26,0.08,25-26,0.9
