Player,Team,Goals,Matches Played,Coefficient,Season,xG
Kevin-Prince Boateng,Las Palmas,10,28,0.36,16-17,
Raúl García,Ath Bilbao,10,36,0.28,16-17,
Yannick Carrasco,Ath Madrid,10,35,0.29,16-17,
Sergio León,Osasuna,10,33,0.3,16-17,
Y. Carrasco,Ath Madrid,10,35,0.29,16-17,
C. Vela,Sociedad,9,35,0.26,16-17,
Duje Čop,Sp Gijon,9,31,0.29,16-17,
R. Soriano,Villarreal,9,33,0.27,16-17,
C. Carmona,Sp Gijon,8,25,0.32,16-17,
A. Szymanowski,Leganes,8,28,0.29,16-17,
Fernando Torres,Ath Madrid,8,31,0.26,16-17,
N. Sansone,Villarreal,8,32,0.25,16-17,
Ivan Rakitić,Barcelona,8,32,0.25,16-17,
Pablo Sarabia,Sevilla,8,34,0.24,16-17,
Xabi Prieto,Sociedad,8,38,0.21,16-17,
James,Real Madrid,8,22,0.36,16-17,
V. Iborra,Sevilla,7,31,0.23,16-17,
Iker Muniain,Ath Bilbao,7,35,0.2,16-17,
Roberto Torres,Osasuna,7,32,0.22,16-17,
Deyverson,Alaves,7,32,0.22,16-17,
Jonathan Viera,Las Palmas,7,31,0.23,16-17,
Adrián,Eibar,7,28,0.25,16-17,
F. Vázquez,Sevilla,7,30,0.23,16-17,
Sergio Ramos,Real Madrid,7,28,0.25,16-17,
Kenan Kodro,Osasuna,7,28,0.25,16-17,
Kike García,Eibar,7,24,0.29,16-17,
G. Bale,Real Madrid,7,19,0.37,16-17,
Munir,Valencia,6,34,0.18,16-17,
C. Borges,La Coruna,6,34,0.18,16-17,
Santi Mina,Valencia,6,29,0.21,16-17,
Pablo Fornals,Malaga,6,32,0.19,16-17,
Vitolo,Sevilla,6,30,0.2,16-17,
Stevan Jovetić,Sevilla,6,21,0.29,16-17,
L. Vietto,Sevilla,6,21,0.29,16-17,
P. Alcácer,Barcelona,6,21,0.29,16-17,
S. Zaza,Valencia,6,20,0.3,16-17,
Rafinha,Barcelona,6,18,0.33,16-17,
L Leo Baptistão,Espanol,6,21,0.29,16-17,
Ibai Gómez,Alaves,5,29,0.17,16-17,
I. Williams,Ath Bilbao,5,38,0.13,16-17,
Manu Trigueros,Villarreal,5,37,0.14,16-17,
Dani Parejo,Valencia,5,36,0.14,16-17,
Andreas Pereira,Granada,5,35,0.14,16-17,
G. Pires,Leganes,5,34,0.15,16-17,
M. Guerrero,Leganes,5,31,0.16,16-17,
Bruno,Villarreal,5,34,0.15,16-17,
A. Kravets,Granada,5,26,0.19,16-17,
Marko Livaja,Las Palmas,5,25,0.2,16-17,
M. Lemos,Las Palmas,5,23,0.22,16-17,
Carcela-González,Granada,5,22,0.23,16-17,
Joselu,La Coruna,5,20,0.25,16-17,
Nani,Valencia,5,25,0.2,16-17,
Rodrigo Moreno,Valencia,5,19,0.26,16-17,
P. Bigas,Las Palmas,4,32,0.13,16-17,
E. Garay,Valencia,4,27,0.15,16-17,
Ángel Correa,Ath Madrid,4,31,0.13,16-17,
Tana,Las Palmas,4,32,0.13,16-17,
I. Camacho,Malaga,4,35,0.11,16-17,
Saúl,Ath Madrid,4,33,0.12,16-17,
M. San José,Ath Bilbao,4,35,0.11,16-17,
Koke,Ath Madrid,4,36,0.11,16-17,
N. El Zhar,Leganes,4,26,0.15,16-17,
Édgar Méndez,Alaves,4,27,0.15,16-17,
G. Rossi,Celta,4,18,0.22,16-17,
J. Correa,Sevilla,4,26,0.15,16-17,
Casemiro,Real Madrid,4,25,0.16,16-17,
Luciano Neves,Leganes,4,25,0.16,16-17,
Carlos Castro,Sp Gijon,4,25,0.16,16-17,
J. Guidetti,Celta,4,23,0.17,16-17,
A. Sanabria,Betis,4,22,0.18,16-17,
Oriol Riera,Osasuna,4,22,0.18,16-17,
Ramos,Granada,4,14,0.29,16-17,
R. Babel,La Coruna,4,11,0.36,16-17,
R. Soldado,Villarreal,4,10,0.4,16-17,
Jon Bautista,Sociedad,3,12,0.25,16-17,
M. Santos,Malaga,3,14,0.21,16-17,
Jesé Rodríguez,Las Palmas,3,16,0.19,16-17,
A. Turan,Barcelona,3,18,0.17,16-17,
Recio,Malaga,3,18,0.17,16-17,
L. Messi,Barcelona,34,36,0.94,17-18,
C. Ronaldo,Real Madrid,26,27,0.96,17-18,
L. Suárez,Barcelona,25,33,0.76,17-18,
Iago Aspas,Celta,22,34,0.65,17-18,
C. Stuani,Girona,21,33,0.64,17-18,
A. Griezmann,Ath Madrid,19,32,0.59,17-18,
Maxi Gómez,Celta,17,36,0.47,17-18,
G. Bale,Real Madrid,16,26,0.62,17-18,
Rodrigo Moreno,Valencia,16,37,0.43,17-18,
Gerard Moreno,Espanol,16,38,0.42,17-18,
Willian José,Sociedad,15,34,0.44,17-18,
C. Bacca,Villarreal,15,35,0.43,17-18,
S. Zaza,Valencia,13,33,0.39,17-18,
Ángel,Getafe,13,33,0.39,17-18,
Santi Mina,Valencia,12,32,0.38,17-18,
M. Oyarzabal,Sociedad,12,35,0.34,17-18,
Sergio León,Betis,11,31,0.35,17-18,
Portu,Girona,11,37,0.3,17-18,
Munir,Alaves,10,33,0.3,17-18,
Raúl García,Ath Bilbao,10,34,0.29,17-18,
Morales,Levante,10,35,0.29,17-18,
J. Calleri,Las Palmas,9,37,0.24,17-18,
Paulinho,Barcelona,9,34,0.26,17-18,
A. Aduriz,Ath Bilbao,9,33,0.27,17-18,
Adrián,La Coruna,9,30,0.3,17-18,
E. Bardhi,Levante,9,26,0.35,17-18,
C. Bakambu,Villarreal,9,15,0.6,17-18,
W. Ben Yedder,Sevilla,9,25,0.36,17-18,
