Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Referee,B365H,B365D,B365A,Home_PPDA,Away_PPDA
2015-09-19,Valencia,Betis,0,0,D,22,3,5,1,7,1,17,15,4,2,0,1,Carlos Velasco,1.5,4.33,6.5,3.808,12.895
2015-09-20,Barcelona,Levante,4,1,H,21,11,8,4,4,4,8,16,0,1,0,0,David Fernández,1.06,12.0,29.0,4.812,18.588
2015-09-20,La Coruna,Sp Gijon,2,3,A,19,4,9,4,8,3,11,16,3,3,0,0,Eduardo Prieto,2.05,3.1,4.2,5.4,9.28
2015-09-20,Las Palmas,Vallecano,0,1,A,8,17,2,6,3,5,13,19,3,5,0,0,José González,1.91,3.5,4.0,6.739,5.289
2015-09-20,Sevilla,Celta,1,2,A,13,15,5,5,5,5,16,16,3,5,0,1,Santiago Jaime,1.8,3.75,4.33,9.2,5.471
2015-09-20,Villarreal,Ath Bilbao,3,1,H,14,11,7,2,9,4,17,6,4,4,0,0,Carlos Clos Gómez,2.0,3.5,3.75,6.697,8.588
2015-09-22,Ath Madrid,Getafe,2,0,H,12,6,3,2,6,1,14,10,3,2,0,0,Alfonso Álvarez,1.25,5.5,15.0,6.778,10.042
2015-09-22,Espanol,Valencia,1,0,H,17,10,5,4,7,6,22,14,5,7,0,0,Ignacio Iglesias,3.25,3.25,2.3,7.344,5.621
2015-09-22,Granada,Sociedad,0,3,A,11,8,1,5,4,3,20,18,5,4,0,0,Daniel Ask,2.4,3.1,3.2,5.562,7.292
2015-09-23,Ath Bilbao,Real Madrid,1,2,A,11,22,5,6,6,8,17,10,4,3,0,0,Antonio Matéu Lahoz,5.25,4.2,1.62,9.324,12.444
2015-09-23,Celta,Barcelona,4,1,H,18,18,5,7,5,10,19,4,2,2,0,0,Alberto Undiano,6.5,4.5,1.5,7.343,7.792
2015-09-23,Las Palmas,Sevilla,2,0,H,12,17,4,3,5,5,9,13,3,4,0,0,Carlos del Cerro,3.3,3.4,2.2,10.818,3.641
2015-09-23,Levante,Eibar,2,2,D,12,10,2,4,4,7,13,23,2,5,0,0,Carlos Velasco,2.38,3.1,3.25,5.5,5.548
2015-09-23,Malaga,Villarreal,0,1,A,15,9,4,3,8,5,18,14,2,3,0,0,Ricardo de Burgos,2.63,3.3,2.75,4.282,7.8
2015-09-23,Vallecano,Sp Gijon,2,1,H,18,5,6,2,4,4,14,17,2,1,0,1,Iñaki Bikandi,2.25,3.4,3.2,4.586,9.577
2015-09-24,Betis,La Coruna,1,2,A,9,8,2,3,3,4,11,22,3,5,0,0,Jesús Gil,2.25,3.3,3.3,5.68,9.688
2015-09-25,Valencia,Granada,1,0,H,12,18,5,3,11,3,19,20,3,3,0,0,Carlos Clos Gómez,1.45,4.5,7.5,8.375,3.043
2015-09-26,Barcelona,Las Palmas,2,1,H,18,10,6,6,3,4,12,23,2,4,0,0,Ricardo de Burgos,1.08,11.0,26.0,4.118,12.484
2015-09-26,Eibar,Celta,1,1,D,10,9,3,2,4,4,25,16,5,4,0,0,Pedro Pérez,3.75,3.4,2.05,7.568,3.281
2015-09-26,Real Madrid,Malaga,0,0,D,31,12,9,3,12,6,11,10,4,4,0,1,José González,1.11,10.0,21.0,7.048,24.364
2015-09-26,Sevilla,Vallecano,3,2,H,17,18,8,5,6,5,9,18,1,2,0,1,Alejandro Hernández,1.44,4.75,7.0,8.538,5.629
2015-09-26,Villarreal,Ath Madrid,1,0,H,5,9,2,4,1,5,11,15,2,2,0,0,David Fernández,2.9,3.1,2.6,12.19,10.828
2015-09-27,Getafe,Levante,3,0,H,15,10,8,3,4,4,11,10,2,3,0,0,Santiago Jaime,1.95,3.3,4.2,6.6,19.692
2015-09-27,La Coruna,Espanol,3,0,H,14,7,5,3,7,5,11,11,4,3,0,1,José Sánchez,2.1,3.3,3.75,14.211,14.0
2015-09-27,Sociedad,Ath Bilbao,0,0,D,14,9,4,2,4,2,15,19,3,4,0,0,Carlos Velasco,2.4,3.2,3.0,6.533,4.794
