Player Name,Team,Goals Scored (GS),Games Played (GP),Average (OG),Expected Goals (xG)
Pep Chavarria,RAY,1,25,0.04,0.6
Ilic,OVI,1,18,0.06,0.7
Kounde,BAR,1,25,0.04,1.6
Cubarsí,BAR,1,24,0.04,0.5
Eric,BAR,1,27,0.04,1.6
F. De Jong,BAR,1,19,0.05,1.2
Toljan,LEV,1,28,0.04,1.0
Elgezabal,LEV,1,12,0.08,0.7
P. Martínez,LEV,1,18,0.06,1.7
Manu Sánchez,LEV,1,25,0.04,0.7
Caleta-Car,RSO,1,20,0.05,1.1
Aramburu,RSO,1,27,0.04,1.9
Javi Guerra,VAL,1,28,0.04,1.7
Santamaria,VAL,1,19,0.05,0.4
Gayà,VAL,1,25,0.04,0.8
Diakhaby,VAL,1,8,0.13,0.5
Mascarell,MLL,1,22,0.05,0.1
Mateu Jaume,MLL,1,16,0.06,0.3
Asano,MLL,1,15,0.07,0.5
S. Darder,MLL,1,29,0.03,2.0
Morlanes,MLL,1,23,0.04,1.9
A. J. Morales,LEV,1,19,0.05,1.9
Guevara,ALA,1,19,0.05,0.2
A. Rebbach,ALA,1,22,0.05,2.1
Ibáñez,ALA,1,28,0.04,4.1
Blanco,ALA,1,27,0.04,1.1
N. Tenaglia,ALA,1,27,0.04,1.3
Pol Lozano,ESP,1,26,0.04,0.7
Miguel Rubio,ESP,1,11,0.09,0.7
Dolan,ESP,1,28,0.04,0.3
R. Terrats,ESP,1,21,0.05,1.0
Edu Expósito,ESP,1,27,0.04,2.0
Jofre,ESP,1,21,0.05,1.8
Uche,GET,1,3,0.33,
Iglesias,GET,1,28,0.04,1.0
Vivian,ATH,1,24,0.04,1.2
Iglesias,GET,1,29,0.03,1.0
Vivian,ATH,1,25,0.04,1.2
Paredes,ATH,1,17,0.06,1.1
R. De Galarreta,ATH,1,27,0.04,0.7
Maroan,ATH,1,9,0.11,2.0
Nico Serrano,ATH,1,13,0.08,0.7
Rego,ATH,1,21,0.05,2.6
Barrios,ATM,1,21,0.05,1.8
Le Normand,ATM,1,22,0.05,0.4
Carmona,SEV,1,28,0.04,1.0
Ejuke,SEV,1,22,0.05,1.3
Kike Salas,SEV,1,18,0.06,0.9
Lukébakio,SEV,1,2,0.5,0.1
Agoumé,SEV,1,26,0.04,0.8
Gudelj,SEV,1,26,0.04,1.0
Miguel,CEL,1,19,0.05,0.7
Oscar,CEL,1,26,0.04,0.2
Bryan,CEL,1,19,0.05,1.8
Marquitos,CEL,1,25,0.04,0.8
Ávila Chimy,BET,1,12,0.08,0.2
S. Altimira,BET,1,20,0.05,0.3
Bellerín,BET,1,18,0.06,0.4
Bartra,BET,1,22,0.05,0.8
A. Osambela,OSA,1,13,0.08,0.3
Abel Bretones,OSA,1,22,0.05,0.6
Boyomo,OSA,1,22,0.05,0.8
Kike Barja,OSA,1,19,0.05,7.8
Tchouameni,RMA,1,26,0.04,2.3
Fran García,RMA,1,9,0.11,0.7
Mastantuono,RMA,1,16,0.06,2.3
E. Militão,RMA,1,13,0.08,1.8
Rodrygo,RMA,1,19,0.05,2.6
Gorrotxa,RSO,1,25,0.04,0.7
Witsel,GIR,1,23,0.04,2.3
Rüdiger,RMA,1,12,0.08,0.9
Dendoncker,OVI,1,19,0.05,0.8
E. Bailly,OVI,1,9,0.11,0.3
David Costas,OVI,1,19,0.05,0.7
Domingos D.,GET,1,26,0.04,0.8
Unai G.,ATH,1,20,0.05,1.5
Oso,SEV,1,13,0.08,1.0
Pickel,ESP,1,17,0.06,0.8
Denis Suárez,ALA,1,22,0.05,0.9
Llorente R.,BET,1,12,0.08,0.8
Olasagasti,LEV,1,25,0.04,1.2
I. Benito,OSA,1,5,0.2,0.6
David Carmo,OVI,1,21,0.05,0.9
Pedrosa,ELC,1,21,0.05,1.5
Adam B.,ELC,1,7,0.14,0.0
H. Fort,ELC,1,9,0.11,0.5
Diang,ELC,1,17,0.06,1.0
B. Mendy,SEV,1,24,0.04,1.6
Odriozola,RSO,1,5,0.2,0.5
Kiko F.,GET,1,24,0.04,0.7
Solomon,VIL,1,6,0.17,0.4
Jan Virgili,MLL,1,24,0.04,2.3
Roony,BAR,1,16,0.06,6.9
Alemâo,RAY,1,19,0.05,3.2
Maffeo,MLL,1,25,0.04,0.4
Camavinga,RMA,1,23,0.04,1.1
J. Boñar,ATM,1,1,1.0,0.3
Joao Cancelo,BAR,1,9,0.11,0.4
Ángel P.,ALA,1,9,0.11,0.8
Fer López,CEL,1,10,0.1,0.8
Maupay,SEV,1,6,0.17,0.7
T. Morente,ELC,1,6,0.17,0.5
Mendoza,ATM,1,21,0.05,0.8
Fidalgo,BET,1,6,0.17,0.5
Ibrahim,ALA,1,3,0.33,0.8
Portu,GIR,0,10,0.0,1.4
Gazzaniga,GIR,0,28,0.0,1.0
A. Francés,GIR,0,19,0.0,0.5
Juan Carlos,GIR,0,0,0.0,0.4
David Lopez,GIR,0,4,0.0,0.3
Miovski,GIR,0,1,0.0,
Krejci,GIR,0,2,0.0,0.1
Krapyvtsov,GIR,0,2,0.0,
Jhon Solis,GIR,0,12,0.0,0.2
Iván Martín,GIR,0,29,0.0,0.8
Papa,GIR,0,0,0.0,9.8
Blind,GIR,0,28,0.0,0.3
Gibi,GIR,0,0,0.0,
Asprilla,GIR,0,15,0.0,0.6
Pau Navarro,VIL,0,19,0.0,0.0
Foyth,VIL,0,13,0.0,0.1
A. Alti,VIL,0,1,0.0,1.0
Júnior R.,VIL,0,27,0.0,0.5
Parejo,VIL,0,24,0.0,0.2
Cabanes,VIL,0,0,0.0,4.1
