Player,Team,Goals,Matches Played,Coefficient
Artem Dovbyk,Girona FC,24,36,0.67
A. Sørloth,Villarreal,23,34,0.68
J. Bellingham,Real Madrid,19,28,0.68
R. Lewandowski,FC Barcelona,19,35,0.54
A. Budimir,Osasuna,16,33,0.48
A. Griezmann,Atlético de Madrid,16,33,0.48
Y. En-Nesyri,Sevilla,16,33,0.48
Vinícius,Real Madrid,15,26,0.58
B. Mayoral,Getafe,15,27,0.56
Á. Morata,Atlético de Madrid,15,32,0.47
G. Guruzeta,Athletic,14,32,0.44
J. Larsen,Celta,13,37,0.35
Hugo Duro,Valencia,13,37,0.35
I. Williams,Athletic,12,34,0.35
Myrto Uzuni,Granada,11,34,0.32
Gerard Moreno,Villarreal,10,30,0.33
Willian José,Real Betis,10,33,0.3
Joselu,Real Madrid,10,34,0.29
Rodrygo,Real Madrid,10,34,0.29
Savinho,Girona FC,9,37,0.24
Sergio Arribas,Almería,9,34,0.26
Iago Aspas,Celta,9,35,0.26
Samu Aghehowa,Deportivo Alavés,9,35,0.26
Ayoze,Real Betis,9,31,0.29
M. Oyarzabal,Real Sociedad,9,33,0.27
Ángel Correa,Atlético de Madrid,9,32,0.28
C. Stuani,Girona FC,9,31,0.29
Isco,Real Betis,8,29,0.28
V. Tsygankov,Girona FC,8,30,0.27
Fermín López,FC Barcelona,8,31,0.26
Brahim Díaz,Real Madrid,8,31,0.26
Morales,Villarreal,7,29,0.24
Ferran Torres,FC Barcelona,7,29,0.24
Vedat Muriqi,Mallorca,7,29,0.24
Take Kubo,Real Sociedad,7,30,0.23
João Félix,FC Barcelona,7,30,0.23
Tasos Douvikas,Celta,7,32,0.22
M. Greenwood,Getafe,7,33,0.21
Álex Berenguer,Athletic,7,35,0.2
Portu,Girona FC,7,36,0.19
