Player,Team,Goals,Matches Played,Coefficient,Season
Brahim Díaz,Real Madrid,8,31,0.26,23-24
Morales,Villarreal,7,29,0.24,23-24
Ferran Torres,Barcelona,7,29,0.24,23-24
Vedat Muriqi,Mallorca,7,29,0.24,23-24
Take Kubo,Sociedad,7,30,0.23,23-24
João Félix,Barcelona,7,30,0.23,23-24
Tasos Douvikas,Celta,7,32,0.22,23-24
M. Greenwood,Getafe,7,33,0.21,23-24
Álex Berenguer,Ath Bilbao,7,35,0.2,23-24
Portu,Girona,7,36,0.19,23-24
R. Lewandowski,Barcelona,22,34,0.65,22-23
K. Benzema,Real Madrid,19,24,0.79,22-23
Joselu,Espanol,16,34,0.47,22-23
Borja,Iglesias Real Betis,15,35,0.43,22-23
Vedat,Muriqi Mallorca,15,35,0.43,22-23
A. Griezmann,Ath Madrid,15,38,0.39,22-23
Enes,Ünal Getafe,14,35,0.4,22-23
Taty,Castellanos Girona FC,13,35,0.37,22-23
Á. Morata,Ath Madrid,13,36,0.36,22-23
Iago,Aspas Celta,12,37,0.32,22-23
N. Jackson,Villarreal,12,26,0.46,22-23
A. Sørloth,Sociedad,12,34,0.35,22-23
Gabri,Veiga Celta,11,36,0.31,22-23
M. Braithwaite,Espanol,10,31,0.32,22-23
Vinícius,Real Madrid,10,33,0.3,22-23
Oihan,Sancet Athletic,10,36,0.28,22-23
I. Williams,Ath Bilbao,10,36,0.28,22-23
Ángel,Correa Atlético de Madrid,9,35,0.26,22-23
Take,Kubo Real Sociedad,9,35,0.26,22-23
Isi,Palazón Rayo Vallecano,9,37,0.24,22-23
Rodrygo,Real Madrid,9,34,0.26,22-23
M. Asensio,Real Madrid,9,31,0.29,22-23
C. Stuani,Girona,9,32,0.28,22-23
Cyle,Larin Real Valladolid,8,19,0.42,22-23
Chimy,Ávila Osasuna,8,29,0.28,22-23
Y. En-Nesyri,Sevilla,8,31,0.26,22-23
A. Budimir,Osasuna,8,31,0.26,22-23
Brais,Méndez Real Sociedad,8,34,0.24,22-23
B. Mayoral,Getafe,8,35,0.23,22-23
Y. Carrasco,Ath Madrid,7,35,0.2,22-23
Javi,Puado Espanyol,7,37,0.19,22-23
Ansu,Fati FC Barcelona,7,36,0.19,22-23
Raphinha,Barcelona,7,36,0.19,22-23
F. Valverde,Real Madrid,7,34,0.21,22-23
Lucas,Boyé Elche,7,35,0.2,22-23
Morales,Villarreal,7,29,0.24,22-23
Gerard,Moreno Villarreal,7,21,0.33,22-23
E. Touré,Almeria,7,21,0.33,22-23
Sergi,Darder Espanyol,6,38,0.16,22-23
S. Lino,Valencia,6,38,0.16,22-23
Álex,Baena Villarreal,6,35,0.17,22-23
S. Chukwueze,Villarreal,6,37,0.16,22-23
Nico,Williams Athletic,6,36,0.17,22-23
Kang-In,Lee Mallorca,6,36,0.17,22-23
Sergio,Camello Rayo Vallecano,6,38,0.16,22-23
Erik,Lamela Sevilla,6,32,0.19,22-23
G. Guruzeta,Ath Bilbao,6,30,0.2,22-23
Sergio,León Real Valladolid,6,29,0.21,22-23
Pedri,Barcelona,6,26,0.23,22-23
Justin,Kluivert Valencia,6,26,0.23,22-23
Lázaro,Almeria,6,19,0.32,22-23
Pere,Milla Elche,6,31,0.19,22-23
Éder,Militão Real Madrid,5,33,0.15,22-23
Álvaro,García Rayo Vallecano,5,35,0.14,22-23
O. Dembélé,Barcelona,5,25,0.2,22-23
Edinson,Cavani Valencia,5,25,0.2,22-23
Memphis,Ath Madrid,5,10,0.5,22-23
Luka,Modrić Real Madrid,4,33,0.12,22-23
Florian,Lejeune Rayo Vallecano,4,31,0.13,22-23
Tete,Morente Elche,4,32,0.13,22-23
J. Larsen,Celta,4,32,0.13,22-23
Ferran,Torres FC Barcelona,4,33,0.12,22-23
Álex,Berenguer Athletic,4,37,0.11,22-23
Nahuel,Molina Atlético de Madrid,4,33,0.12,22-23
E. Ponce,Elche,4,34,0.12,22-23
R. Riquelme,Girona,4,34,0.12,22-23
Yéremy,Pino Villarreal,4,36,0.11,22-23
Adrián,Embarba Almería,4,30,0.13,22-23
T. Bongonda,Cadiz,4,31,0.13,22-23
Sergio,Canales Real Betis,4,31,0.13,22-23
Ez,Abde Osasuna,4,28,0.14,22-23
Juanmi,Betis,4,22,0.18,22-23
Léo,Baptistão Almería,4,28,0.14,22-23
G. Escalante,Cadiz,4,14,0.29,22-23
Lucas,Ocampos Sevilla,4,19,0.21,22-23
Luis,Suárez Almería,4,21,0.19,22-23
Raúl,De Tomás Rayo Vallecano,4,19,0.21,22-23
Sergi,Roberto FC Barcelona,4,23,0.17,22-23
M. Oyarzabal,Sociedad,4,23,0.17,22-23
Lucas,Vázquez Real Madrid,4,23,0.17,22-23
Samu,Castillejo Valencia,4,25,0.16,22-23
G. Melero,Almeria,4,27,0.15,22-23
C. Montes,Espanol,3,20,0.15,22-23
Álex,Fernández Cádiz,3,28,0.11,22-23
Fidel,Elche,3,27,0.11,22-23
M. Hermoso,Ath Madrid,3,26,0.12,22-23
Iván,Martín Girona FC,3,24,0.13,22-23
A. Barrenetxea,Sociedad,3,23,0.13,22-23
J. Miranda,Betis,3,21,0.14,22-23
David,López Girona FC,3,20,0.15,22-23
João,Félix Atlético de Madrid,3,14,0.21,22-23
V. Tsygankov,Girona,3,19,0.16,22-23
Ayoze,Betis,3,19,0.16,22-23
Carmona,Elche,3,19,0.16,22-23
H. Seferović,Celta,3,18,0.17,22-23
Lucas,Pérez Cádiz,3,14,0.21,22-23
Diego,López Valencia,3,10,0.3,22-23
Umar,Sadiq Real Sociedad,3,5,0.6,22-23
Munir,Getafe,3,28,0.11,22-23
K. Benzema,Real Madrid,27,32,0.84,21-22
Iago Aspas,Celta,17,37,0.46,21-22
Raúl De Tomás,Espanol,17,34,0.5,21-22
Vinícius,Real Madrid,17,35,0.49,21-22
Enes Ünal,Getafe,16,37,0.43,21-22
Juanmi,Betis,16,33,0.48,21-22
Joselu,Alaves,14,37,0.38,21-22
Morales,Levante,13,35,0.37,21-22
Memphis,Barcelona,12,28,0.43,21-22
Ángel Correa,Ath Madrid,12,36,0.33,21-22
L. Suárez,Ath Madrid,11,35,0.31,21-22
G. Guedes,Valencia,11,36,0.31,21-22
Carlos Soler,Valencia,11,32,0.34,21-22
P. Aubameyang,Barcelona,11,17,0.65,21-22
A. Danjuma,Villarreal,10,23,0.43,21-22
M. Asensio,Real Madrid,10,31,0.32,21-22
Borja Iglesias,Betis,10,33,0.3,21-22
