Player,Team,Goals,Matches Played,Coefficient
K. Mbappé,Real Madrid,31,34,0.91
R. Lewandowski,FC Barcelona,27,34,0.79
A. Budimir,Osasuna,21,38,0.55
A. Sørloth,Atlético de Madrid,20,35,0.57
Ayoze,Villarreal,19,30,0.63
Raphinha,FC Barcelona,18,36,0.5
Julián Alvarez,Atlético de Madrid,17,37,0.46
Oihan Sancet,Athletic,15,29,0.52
Kike García,Deportivo Alavés,13,35,0.37
Javi Puado,Espanyol,12,35,0.34
Thierno Barry,Villarreal,11,35,0.31
D. Lukébakio,Sevilla,11,38,0.29
Borja Iglesias,Celta,11,37,0.3
C. Stuani,Girona FC,11,32,0.34
Hugo Duro,Valencia,11,31,0.35
Vinícius,Real Madrid,11,30,0.37
Fábio Silva,UD Las Palmas,10,24,0.42
Dani Olmo,FC Barcelona,10,25,0.4
Ferran Torres,FC Barcelona,10,27,0.37
Iago Aspas,Celta,10,30,0.33
Jorge De Frutos,Rayo Vallecano,6,36,0.17
F. Valverde,Real Madrid,6,36,0.17
Nico Williams,Athletic,5,29,0.17
Luis Rioja,Valencia,5,37,0.14
Aimar Oroz,Osasuna,5,37,0.14
Carlos Vicente,Deportivo Alavés,5,37,0.14
Rubén García,Osasuna,5,36,0.14
Take Kubo,Real Sociedad,5,36,0.14
Juan Cruz,Leganés,5,34,0.15
Umar Sadiq,Valencia,5,23,0.22
Mamadou Sylla,Real Valladolid,5,29,0.17
Antony,Real Betis,5,17,0.29
Alfon González,Celta,5,26,0.19
Cucho,Real Betis,5,15,0.33
B. Mayoral,Getafe,5,24,0.21
Joan Jordán,Deportivo Alavés,5,25,0.2
W. Swedberg,Celta,4,32,0.13
Pedri,FC Barcelona,4,37,0.11
Dani Rodríguez,Mallorca,4,37,0.11
Álvaro García,Rayo Vallecano,4,36,0.11
Isi Palazón,Rayo Vallecano,4,35,0.11
Ó. Mingueza,Celta,4,34,0.12
Pape Gueye,Villarreal,4,34,0.12
Yéremy Pino,Villarreal,4,34,0.12
Pathé Ciss,Rayo Vallecano,4,33,0.12
Raúl Moro,Real Valladolid,4,33,0.12
L. Cabrera,Espanyol,4,33,0.12
C. Uche,Getafe,4,33,0.12
Dani Vivian,Athletic,4,32,0.13
Ramón Terrats,Getafe,4,26,0.15
Raúl García,Osasuna,4,32,0.13
Toni Martínez,Deportivo Alavés,4,28,0.14
Juanlu Sánchez,Sevilla,4,32,0.13
Vitor Roque,Real Betis,4,22,0.18
Abel Ruiz,Girona FC,4,23,0.17
Hugo Álvarez,Celta,4,26,0.15
Pablo Durán,Celta,4,27,0.15
Munir,Leganés,4,25,0.16
A. Danjuma,Girona FC,4,28,0.14
Y. Herrera,Girona FC,4,29,0.14
Ángel Correa,Atlético de Madrid,4,31,0.13
Isaac Romero,Sevilla,4,31,0.13
Brahim Díaz,Real Madrid,4,31,0.13
Randy Nteka,Rayo Vallecano,3,24,0.13
Yáser Asprilla,Girona FC,3,27,0.11
Carles Pérez,Getafe,3,27,0.11
Brais Méndez,Real Sociedad,3,27,0.11
Pedro Díaz,Rayo Vallecano,3,26,0.12
Bryan Gil,Girona FC,3,25,0.12
S. Amallah,Real Valladolid,3,24,0.13
Gerard Moreno,Villarreal,3,17,0.18
Aitor Paredes,Athletic,3,23,0.13
O. Óskarsson,Real Sociedad,3,23,0.13
Sergio Camello,Rayo Vallecano,3,23,0.13
Álex Muñoz,UD Las Palmas,3,21,0.14
Tasos Douvikas,Celta,3,20,0.15
Pere Milla,Espanyol,3,20,0.15
Pablo Torre,FC Barcelona,3,10,0.3
Diego García,Leganés,3,28,0.11
