Player,Team,Goals,Matches Played,Coefficient
Luis Suárez,FC Barcelona,40,35,1.14
Cristiano Ronaldo,Real Madrid,35,36,0.97
Lionel Messi,FC Barcelona,26,33,0.79
Neymar,FC Barcelona,24,34,0.71
Karim Benzema,Real Madrid,24,27,0.89
Antoine Griezmann,Atlético de Madrid,22,38,0.58
Aritz Aduriz,Athletic,20,34,0.59
Gareth Bale,Real Madrid,19,23,0.83
Rubén Castro,Real Betis,19,38,0.5
Borja Bastón,Eibar,18,36,0.5
Lucas Pérez,Deportivo La Coruña,17,36,0.47
Kévin Gameiro,Sevilla,16,31,0.52
Youssef El-Arabi,Granada,15,35,0.43
Iago Aspas,Celta Vigo,14,35,0.4
Imanol Agirretxe,Real Sociedad,13,16,0.81
Paco Alcácer,Valencia,13,34,0.38
Nolito,Celta Vigo,12,29,0.41
Charles,Málaga,12,35,0.34
Cédric Bakambu,Villarreal,12,34,0.35
Javi Guerra,Rayo Vallecano,12,30,0.4
Fernando Torres,Atlético de Madrid,11,30,0.37
Antonio Sanabria,Sporting Gijón,11,29,0.38
Jonathan Viera,Las Palmas,10,36,0.28
Jozabed Sánchez,Rayo Vallecano,10,27,0.37
Sergi Enrich,Eibar,9,38,0.24
F. Caicedo,Espanyol,8,31,0.26
Dani Parejo,Valencia,8,33,0.24
I. Williams,Athletic,8,25,0.32
J. Guidetti,Celta,7,35,0.2
H. Pérez,Espanyol,7,32,0.22
Carlos Castro,Real Sporting,7,25,0.28
Ivan Rakitić,FC Barcelona,7,36,0.19
Morales,Levante,7,35,0.2
F. Orellana,Celta,7,33,0.21
Gerard Moreno,Espanyol,7,32,0.22
Raúl García,Athletic,7,31,0.23
Pablo Sarabia,Getafe,7,31,0.23
Duje Čop,Málaga,7,31,0.23
V. Iborra,Sevilla,7,29,0.24
Jonathas,Real Sociedad,7,27,0.26
James,Real Madrid,7,26,0.27
Isaac Success,Granada,6,30,0.2
Rubén Rochina,Granada,6,35,0.17
S. Šćepović,Getafe,6,34,0.18
G. Rossi,Levante,6,17,0.35
Luis Alberto,RC Deportivo,6,29,0.21
M. Oyarzabal,Real Sociedad,6,22,0.27
Adrián,Eibar,5,32,0.16
C. Vela,Real Sociedad,5,35,0.14
Álvaro Vázquez,Getafe,5,34,0.15
Sergio Araujo,UD Las Palmas,5,30,0.17
Koke,Atlético de Madrid,5,35,0.14
Jony,Real Sporting,5,36,0.14
F. Fajr,RC Deportivo,5,38,0.13
Bruno,Villarreal,5,31,0.16
A. Peñaranda,Granada,5,23,0.22
R. Soldado,Villarreal,5,28,0.18
Tana,UD Las Palmas,5,27,0.19
Ángel Correa,Atlético de Madrid,5,26,0.19
É. Banega,Sevilla,5,25,0.2
Á. Negredo,Valencia,5,25,0.2
Sabin Merino,Athletic,5,22,0.23
Jesé Rodríguez,Real Madrid,5,28,0.18
Saúl Berjón,Eibar,4,29,0.14
M. Asensio,Espanyol,4,34,0.12
Denis Suárez,Villarreal,4,33,0.12
Y. Konoplyanka,Sevilla,4,32,0.13
Saúl,Atlético de Madrid,4,31,0.13
Y. Carrasco,Atlético de Madrid,4,29,0.14
Juanpi,Málaga,4,29,0.14
Manucho,Rayo Vallecano,4,28,0.14
Santi Mina,Valencia,4,26,0.15
Lucas Vázquez,Real Madrid,4,25,0.16
F. Llorente,Sevilla,4,23,0.17
Adrián,Villarreal,4,16,0.25
T. Inui,Eibar,3,27,0.11
G. Escalante,Eibar,3,34,0.09
Isco,Real Madrid,3,31,0.1
Pape Diop,Espanyol,3,30,0.1
André Gomes,Valencia,3,30,0.1
Keko Gontán,Eibar,3,29,0.1
M. Susaeta,Athletic,3,28,0.11
S. N'zonzi,Sevilla,3,28,0.11
P. Bigas,UD Las Palmas,3,27,0.11
P. Hernández,Rayo Vallecano,3,27,0.11
E. Velázquez,Getafe,3,11,0.27
A. Laporte,Athletic,3,26,0.12
Léo Baptistão,Villarreal,3,26,0.12
F. Cartabia,RC Deportivo,3,26,0.12
Germán Pezzella,Real Betis,3,25,0.12
J. Babin,Granada,3,25,0.12
C. Borges,RC Deportivo,3,24,0.13
V. Casadesús,Levante,3,23,0.13
Munir,FC Barcelona,3,15,0.2
A. Lafita,Getafe,3,14,0.21
D. Cheryshev,Valencia,3,9,0.33
Bebé,Rayo Vallecano,3,34,0.09
