Player,Team,Goals,Matches Played,Coefficient
L. Messi,FC Barcelona,25,33,0.76
K. Benzema,Real Madrid,21,37,0.57
Gerard Moreno,Villarreal,18,35,0.51
L. Suárez,FC Barcelona,16,28,0.57
Raúl García,Athletic,15,35,0.43
Iago Aspas,Celta,14,37,0.38
Lucas Ocampos,Sevilla,14,33,0.42
Ante Budimir,Mallorca,13,35,0.37
Álvaro Morata,Atlético de Madrid,12,34,0.35
Santi Cazorla,Villarreal,11,35,0.31
Willian José,Real Sociedad,11,37,0.3
Joselu,Deportivo Alavés,11,36,0.31
Roger Martí,Levante,11,36,0.31
Jaime Mata,Getafe,11,34,0.32
Lucas Pérez,Deportivo Alavés,11,34,0.32
Sergio Ramos,Real Madrid,11,35,0.31
Ángel Rodríguez,Getafe,10,32,0.31
Loren Morón,Real Betis,10,36,0.28
Mikel Oyarzabal,Real Sociedad,10,37,0.27
Carlos Fernández,Granada,10,34,0.29
A. Griezmann,FC Barcelona,9,35,0.26
Alexander Isak,Real Sociedad,9,37,0.24
Maxi Gómez,Valencia,9,33,0.27
Chimy Ávila,Osasuna,9,20,0.45
Óscar Rodríguez,Leganés,9,30,0.3
Fabián Orellana,Eibar,8,29,0.28
Darwin Machís,Granada,7,36,0.19
Portu,Real Sociedad,7,35,0.2
Nabil Fekir,Real Betis,7,32,0.22
Moi Gómez,Villarreal,5,37,0.14
Wu Lei,Espanyol,4,33,0.12
Morales,Levante,4,38,0.11
Óscar Plano,Real Valladolid,4,36,0.11
Toni Kroos,Real Madrid,4,35,0.11
Lago Junior,Mallorca,4,35,0.11
Casemiro,Real Madrid,4,35,0.11
Edu Expósito,Eibar,4,35,0.11
Take Kubo,Mallorca,4,35,0.11
Ferran Torres,Valencia,4,34,0.12
Rodrigo Moreno,Valencia,4,27,0.15
David López,Espanyol,4,32,0.13
Koke,Atlético de Madrid,4,32,0.13
M. Ødegaard,Real Sociedad,4,31,0.13
Rubén Rochina,Levante,4,28,0.14
Adnan Januzaj,Real Sociedad,4,24,0.17
Raúl De Tomás,Espanyol,4,14,0.29
P. Alcácer,Villarreal,4,13,0.31
Rafinha,Celta,4,32,0.13
Vitolo,Atlético de Madrid,3,28,0.11
Luka Modrić,Real Madrid,3,31,0.1
F. Vázquez,Sevilla,3,31,0.1
Marc Bartra,Real Betis,3,30,0.1
Aridane,Osasuna,3,29,0.1
M. Llorente,Atlético de Madrid,3,29,0.1
Vinícius,Real Madrid,3,29,0.1
Óliver Torres,Sevilla,3,28,0.11
A. Vadillo,Granada,3,22,0.14
Bernardo,Espanyol,3,26,0.12
Sandro,Real Valladolid,3,24,0.13
P. Bigas,Eibar,3,23,0.13
David Timor,Getafe,3,22,0.14
Arthur,FC Barcelona,3,21,0.14
Enric Gallego,Osasuna,3,19,0.16
Asier Villalibre,Athletic,3,19,0.16
M. Asensio,Real Madrid,3,9,0.33
É. Banega,Sevilla,3,33,0.09
