Player,Team,Goals,Matches Played,Coefficient
L. Messi,FC Barcelona,36,34,1.06
K. Benzema,Real Madrid,21,36,0.58
L. Suárez,FC Barcelona,21,33,0.64
Iago Aspas,Celta,20,27,0.74
C. Stuani,Girona FC,19,32,0.59
W. Ben Yedder,Sevilla,18,35,0.51
Borja Iglesias,Espanyol,17,37,0.46
A. Griezmann,Atlético de Madrid,15,37,0.41
J. Mata,Getafe,14,34,0.41
Jorge Molina,Getafe,14,38,0.37
Charles,Eibar,14,34,0.41
Raúl De Tomás,Rayo Vallecano,14,33,0.42
Roger Martí,Levante,13,31,0.42
M. Oyarzabal,Real Sociedad,13,37,0.35
Maxi Gómez,Celta,13,35,0.37
Pablo Sarabia,Sevilla,12,33,0.36
Morales,Levante,12,37,0.32
I. Williams,Athletic,12,38,0.32
Willian José,Real Sociedad,11,31,0.35
Toko Ekambi,Villarreal,10,34,0.29
Chimy Ávila,Huesca,10,34,0.29
Portu,Girona FC,9,34,0.26
Dani Parejo,Valencia,9,36,0.25
J. Calleri,Deportivo Alavés,9,34,0.26
Raúl García,Athletic,9,33,0.27
André Silva,Sevilla,9,27,0.33
G. Lo Celso,Real Betis,9,32,0.28
G. Bale,Real Madrid,8,29,0.28
O. Dembélé,FC Barcelona,8,29,0.28
Y. En-Nesyri,Leganés,8,31,0.26
Rodrigo Moreno,Valencia,8,33,0.24
Gerard Moreno,Villarreal,8,35,0.23
Ángel,Getafe,8,37,0.22
Iker Muniain,Athletic,7,34,0.21
Sergi Enrich,Eibar,7,35,0.2
Santi Mina,Valencia,7,30,0.23
Sergio Canales,Real Betis,7,32,0.22
G. Carrillo,Leganés,6,32,0.19
Enes Ünal,Real Valladolid,6,33,0.18
Loren Morón,Real Betis,6,33,0.18
Kévin Gameiro,Valencia,6,33,0.18
C. Bacca,Villarreal,6,33,0.18
Á. Morata,Atlético de Madrid,6,15,0.4
Brais Méndez,Celta,6,31,0.19
Joaquín,Real Betis,6,30,0.2
Sergio Ramos,Real Madrid,6,28,0.21
Munir,Sevilla,6,23,0.26
Adrián Embarba,Rayo Vallecano,5,36,0.14
P. Coutinho,FC Barcelona,5,34,0.15
Juanmi,Real Sociedad,5,30,0.17
Borja Bastón,Deportivo Alavés,5,27,0.19
S. Chukwueze,Villarreal,5,26,0.19
Enric Gallego,Huesca,5,19,0.26
G. Guedes,Valencia,5,25,0.2
Saúl,Atlético de Madrid,4,33,0.12
J. Campaña,Levante,4,36,0.11
Joan Jordán,Eibar,4,36,0.11
Jony,Deportivo Alavés,4,36,0.11
Santi Cazorla,Villarreal,4,35,0.11
Álvaro García,Rayo Vallecano,4,35,0.11
Sergi Darder,Espanyol,4,34,0.12
Cucho,Huesca,4,34,0.12
G. Piqué,FC Barcelona,4,35,0.11
G. Escalante,Eibar,4,32,0.13
Óscar Rodríguez,Leganés,4,31,0.13
Cristian Tello,Real Betis,4,29,0.14
Rubén Rochina,Levante,4,27,0.15
Coke Andújar,Levante,4,27,0.15
N. El Zhar,Leganés,4,27,0.15
Álex Gallar,Huesca,4,25,0.16
Etxeita,Huesca,4,31,0.13
M. Braithwaite,Leganés,4,19,0.21
N. Araujo,Celta,3,32,0.09
José Pozo,Rayo Vallecano,3,29,0.1
Kike García,Eibar,3,30,0.1
Diego Godín,Atlético de Madrid,3,30,0.1
Koke,Atlético de Madrid,3,30,0.1
Jonathan Silva,Leganés,3,30,0.1
M. Hermoso,Espanyol,3,32,0.09
Ibai Gómez,Athletic,3,32,0.09
Thomas,Atlético de Madrid,3,32,0.09
Jorge Pulido,Huesca,3,32,0.09
É. Banega,Sevilla,3,32,0.09
B. Mayoral,Levante,3,29,0.1
Casemiro,Real Madrid,3,29,0.1
V. Iborra,Villarreal,3,19,0.16
Mikel Merino,Real Sociedad,3,29,0.1
E. Granero,Espanyol,3,28,0.11
Isco,Real Madrid,3,27,0.11
D. Foulquier,Getafe,3,25,0.12
Junior Firpo,Real Betis,3,24,0.13
Rubén Sobrino,Valencia,3,24,0.13
Dani Ceballos,Real Madrid,3,23,0.13
Á. Medrán,Rayo Vallecano,3,21,0.14
Rosales,Espanyol,3,21,0.14
Sergi Guardiola,Real Valladolid,3,20,0.15
Marc Cardona,Eibar,3,17,0.18
Wu Lei,Espanyol,3,16,0.19
Mariano,Real Madrid,3,13,0.23
A. Vidal,FC Barcelona,3,33,0.09
